stage,epidermis,erythrocytes,eye,gut,heart,immune,mesenchyme,mural_cell,neural,paraxial_mesoderm,presomitic_mesoderm,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,9.04,0,0,0
 14-21,0,0.92,0,0,0,0.9,2.51,0,0,0,2.39,0,0.84
 24-34,0,0,0,0,0,6.31,0,0,0.9,0,0,0,21.58
 36-46,0,0,0,0,0,0.61,0,0,0,0,0,0,6.23
 48-58,0,0,0,0,0,25.45,0,0,1.08,0,0,0,3.75
 60-70,0,0,0,0,0,15.4,0,0,2.68,0,0,0,15.5
 72-82,0,0,0,0,1.58,6.76,2.41,1.32,0,0,0,0.56,12.11
 84-94,0,0,0,0,0,28.59,0,0,2.82,0,0,0.69,25.04
 96-106,0,0.82,0,0,0.76,24.48,2.13,9.1,1.37,0,0,0,10.98
108-118,0,0,5.18,1.23,0.63,16.2,0,0,0,0,0,3.52,17.73
120,10.8,0,0,0,0,9.26,0,0,0,0,0,1.94,5.19
