stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,129.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0
  5-6,7.58,181.21,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,7.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,8.87,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.32,0,0,0,0,0,0,0,33.08,5.29,0,0,7.79,0,5.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.63,1.29,29.14,0,0,1.02,0,2,0,0,3.25,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,0,0,64.07,0,0,0,0,0,0,0,14.57,0,1.38,0
 36-46,0,0,0,0.68,0,0,0,0,0,0,0.72,0,55.11,0,0,0,0,0,0,0,10.17,0,0,0
 48-58,0,0,0,0,0,7.31,0,0,0.58,0,1.24,0,58.82,0,0,0,0,0,0,0,16.88,0,0.41,0
 60-70,0,0,0,0,0,5.76,0,0,0,0,3.15,0,12.63,0,0,0,0,0,0,0,8.7,0,0.74,0
 72-82,0,0,0,0,0,0.68,0,0,0,0,2.06,0,5.19,0,0,0,0,0,0,0.55,14.06,0,2.63,0
 84-94,0,0,0,1.22,0,5.75,0,0,0,0.64,1.08,1.11,15.44,0,5.85,0,0,0,0,0,3.77,0.56,8.01,0
 96-106,0,0,0,1.41,0,0,0.99,0.7,0,1.45,3.18,0,9.6,0,0,1.47,0,1.54,0,0,0,0,0,0
108-118,0,0,0,0.79,7.26,7.81,0,0,0,0,2.54,0,14.1,0,0,0.92,0,0,0,0,0,0,3.24,0.49
120,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0
