stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,234.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.09,8.74,0,0,8.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.12,0,0,0,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.99,0,0,0,16.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,6.2,0,0,2.18,0,0,0,4.88,1.08,0,0,0,0.83,0,0,0,0,4.1,0,0,0,31.16,1.28,0,0,0,0,10.55,0,6.15,24.64,0,0,2.73,0,0
 24-34,0,0,0,0.6,12.55,0,0,8.75,0,0,0,0,0,0,2.19,0,0,0,0,0,0.9,17.25,2.99,0,4.06,94.03,5.37,0,3.38,0,0,22.16,0,2.26,25.4,0,0,2.75,0,0
 36-46,0,0,0,0,6.41,0,0,5.02,0,0,4.31,6.59,0,0,0.56,0,0,0.61,0.91,0,0,28.96,0,0,4.52,53.53,1.95,0.59,1.2,0,0,55.62,2.13,0,12.43,0,0,3.22,0,0
 48-58,0,0,0,0,1.81,0.41,0,4.23,0,1.93,0,12.44,0,0,0.51,7.02,0,0,1.06,0,1.66,58.22,0,1.13,12.43,25.72,5.31,0,1.93,0,0,25.7,0,0,10.72,0,0,7.57,0,0.67
 60-70,0,0,0,0,6.06,0,0,6.34,0,0.73,1.27,24.05,0,0,0.84,2.93,0,0,2.09,0,12.57,56.23,0,0,1.31,27.1,0,1.43,0,0,0,53.86,0,0,5.84,0,1.2,5.44,0,4.11
 72-82,0,0,0,0,7.82,0,0,17.65,0,1.23,1.71,27.68,1.2,0,0,2.33,0,0,2.65,0,0.53,131.24,4.94,0,5.86,41.15,0,2.02,0.79,0,0.83,22.09,0,0,9.62,0,2.56,17.06,1.35,6.24
 84-94,0,0,0,0,8.86,0,0,39.51,0,2.36,4.07,25.22,1.21,0,4.3,3.64,0,0.96,0,0,5.75,121.45,0,3.85,9.51,15.33,11.3,2.54,4.04,0,0,67.34,1.21,0,0,1.49,2.8,7.72,0.82,9.29
 96-106,0,0,0.99,0,15.57,6.08,0,10.88,0,2.98,7.82,39.91,4.08,1.32,0.99,17.48,4.38,0,3.3,0,1.69,144.98,4.27,6.58,12.75,51.03,0.7,6.36,18.83,10.66,0,85.89,0,0,17.56,2.29,3.91,14.69,4.77,1.24
108-118,0,0,0,0.61,12.97,0,0.59,37.98,4.79,5.19,5.56,30.77,3.82,0,0,4.02,1.89,0,2.04,0.87,8.92,183.57,5.36,2.9,8.34,22.71,2.74,1.47,10.76,0,2.05,49.04,0.64,0,6.72,5.71,3.73,8.24,0.72,24.89
120,0,0,0,0,16.29,0,0,15.84,2.34,0,25.94,58.36,11.09,0,0,19.03,1.06,0,0,5.22,9.99,85.34,5.12,0,2.55,17.94,4.01,0,14.23,0,0,62.71,0,0,1.57,1.84,3.14,0,0,0
