stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,78.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,81.7,0,0,0,4.59,0,0,0,3.11,0,0,0,0
 14-21,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,2.38,0,0,0
 24-34,0,0,0,0,1.19,0,0,0,0,0,0,0,0.62,0,0,57.48,0,0,0.67,0,0,0,0,0,7.31,0,0,0
 36-46,0,0,0,0,2.95,0,0.57,1.8,0,0,0,0,5.21,0,0.63,197.03,0,0,0.6,0,0,0,0,0,31.93,0,0,0
 48-58,0,0,1.6,0,28.45,0.75,0,3.64,0,0,0,0,9.47,0,2.32,247.87,0,0,0,0,0,0.68,0,0,19.85,0,0,0
 60-70,0,0,1.02,0,38.35,0,0,7.44,0,0,0,1.33,31.56,0,3.17,668.8,0,1.23,0,0,0.96,0,0,0,56.62,0,0,1.13
 72-82,0,0.56,4.87,0,48.06,0,0,15.51,7.13,0,0,0,45.87,0,0,605.8,0,0,1.13,0,5.64,0,0,0,55.49,0,0,0.92
 84-94,0,0,2.66,0,54.14,0,1.36,5.2,2.79,0,0.62,0,31.48,2.5,1.44,417.04,0,0,1.48,0,0,0,0,0,47.03,0,0,0
 96-106,0,0,0,5.21,52.96,0.6,0,2.47,4.57,0,0,0,43.49,0,0.92,276.93,0,0,2.97,0,5.5,0,0,0,24.07,9.56,0.78,0
108-118,0,0,1.35,0,73.49,0,0,12.69,6.35,0.72,1.92,0.49,36.94,0,0,388.22,0,0,3.84,0,10.86,0,0.9,0,22.69,0.5,0,0
120,0,0,6.02,0,131.54,0,0,17.68,1.14,0,0,7.01,62.69,0,0,548.66,0,0,0,0,9.96,0,0,0,0,0,0,0
