stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,17.94,0,0
 24-34,0,0.61,0,0,0,0,0,0,0,0,87.75,1.47,0,0,77.58,0,0
 36-46,0,0,0,1.95,0,0,0,0,0,0,208.69,0,0,0,89.4,0,0
 48-58,0,0,0,16.77,0,9.98,0,0,1.01,0.68,183.92,0,0,0,97.2,0,0
 60-70,0,0,0,43.53,1.13,1.5,0,0,0,0,240.39,0,0,0,44.62,10.31,0
 72-82,0,0,3.1,49.72,0,1.89,0,0,1.04,0,215.12,0,0,0.61,45.57,0,0
 84-94,0,0,0,31.33,0,6.76,0.69,0,0,0,128.72,0,0,0,21.86,0,0
 96-106,0,2.04,0,26.85,0,0,0,0.64,0,0,157.92,0,0,0,4.72,0,0
108-118,0,1.85,0,70.9,0,2.8,0,0,0,0,173.7,0,1.28,0,0.65,2.14,1.03
120,0,0,0,42.68,0,2.21,0,8.18,0,0,258.93,0,0,0,27.38,0,0
