stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0.95,0,0,0,0,2.34,0,0,0
 24-34,0,0,0,0,0,26.33,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,56.51,0,1.16,1.38,0,0,0,0,0
 48-58,0,0,0,0,0,60.25,0.41,0,0.76,0,0,0,0,0
 60-70,0,0,0,10.6,0,97.07,0,0,0.7,0,0,0,0,10.18
 72-82,0,0,0,1.37,0,108.18,0,0,1,1.23,0,2.77,0.62,0
 84-94,0,0,0,0,0,160.45,0,0,0,0,0,0,3.53,0
 96-106,0,7.47,0,2.34,0,188.8,0.78,0,11.74,0,0,0,5.32,0
108-118,0.43,0,1.44,3.73,1.6,219.83,0.43,0,8.25,0,0,0,3.34,0
120,0,0,0,0,3.18,277.98,0,0,4.68,0,0,0,3.68,0
