stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,129.87,2513.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0,0,0,0,0,0,0
  5-6,87.14,792.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.43,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0
  7-9,7.1,8.18,0,0,0,0,23.85,0,0,0,0,0,12.79,0,0,0,0,0,0,0,0,0,0,0,92.93,3.33,0,0,20.22,7.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.62,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.43,0,0,0,37.56,4.33,4.36,7.07,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,0,0.85,0.9,0,2.1,42.67,4.51,0,0,1.02,31.6,4.41,0,5.22,8.04,9.79,0,0,0,1.01
 24-34,0,0,0,0,0.84,0,11.46,0,0.67,0,0,0,0,0,0,12.21,0,0,16.86,4.89,4.68,0,0,1.9,224.03,0,2.18,0.62,0,86.52,0,1.37,1.04,4.08,41.06,0,5.92,0,3.35
 36-46,0,0,0,0,0.94,0.57,47.95,8.5,0,0,17,0,0,0,0,5.85,0,0,10.86,0,2.98,0,0,7.93,539.97,0,7.92,0,0,85.39,0,0,7.32,0,117.15,0,0,0,24.18
 48-58,0,0,0,0,3.16,0,139.82,4.19,1.36,0.49,34.79,0,0,0.38,0,6.97,0,0.5,11.44,8.35,2.79,0,0,2.3,725.58,0,2.69,0.77,0,60.28,0,0,3.32,0,117.37,0,0,0,31.41
 60-70,0,0,0,0,4.49,0,241.87,1.41,0,0.68,24.65,0,0,0,0.64,1.04,0,0,0,2.78,6.35,0,0,0.65,786.84,0,0,0.69,0,77.32,0,0,5.36,0,99.09,0,0,0,29.96
 72-82,0,0,1.09,0,3.35,1.15,315.69,0.5,4.07,0,69.47,0,0,0,1.66,4.04,0,0,0,0.77,15.79,5.23,0,1.8,744.76,0,1.65,2.01,0,26.93,0,0,4.75,0,71.8,0,5.97,0,29.74
 84-94,0,0,0,0,8.79,3.03,219.72,1,1.14,0,50.61,0,0,0,0,2.25,1.29,0.69,0,2.48,22.79,0.76,0.98,2.47,514.83,0,1.86,0,0,134.43,0,0.74,11.88,0,36.53,0,1.94,0,18.34
 96-106,0,0,1.38,0,12.36,1.36,200.35,1.64,1.3,1.21,36.83,2.51,0,0.58,0,3.28,1.55,0,1.97,0,30.44,0.81,0,0.78,478.49,0,2.04,3.16,0,128.32,0,0,3.53,0,24.44,0,0,0,3.67
108-118,0,0,0.93,0,12.91,5.52,169.06,2.24,3.04,1.3,40.17,0.77,0,0.64,0,4.65,0,1.34,6.85,0,13.61,0.43,0,3.32,540.43,0.85,4.62,3.93,0,79.71,0,0.42,4.9,0,11,0,0,3.02,21.8
120,0,0,0,0,15.85,0,173.4,0,4.45,0,90.83,13.93,0,0,0,3.82,0,0,6.69,0,18.34,4.47,11.39,5.3,583.16,3.89,11.18,4.51,0,70.8,1.12,0,4.29,0,0,1.94,27.48,0,8.4
