stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,18.83,0,0,0,0,0,0,0,0
 14-21,0,22.45,3.95,0,0,0,0,0,6.35,2.27,0,2.21,0,0.81,0,0,0,0,1.97,0,0,0,69.36,2.77,1.23,0,0,6.31,1.18,0,0,3.61,26.85,0,0,0,0,1.92
 24-34,0,8.56,0,0,0.63,0,0,0,2.43,0,0,0,0,0,0,0,0,0.92,15.81,0.63,0,4.45,187.81,3.66,4.04,0.68,0,7.07,0,0,1.64,0,32.35,0,0,2.15,0,0
 36-46,0,17.25,0,0,24.14,0,1.63,0.84,8.83,0,0,0,0.91,0,0,0,4.05,0,10.38,0.58,0,2.75,149.61,0,0.73,0,0,18.23,0,0,7.21,0,30.07,0,0,0,0,0
 48-58,0,28.15,0,0,39.64,4.3,1.65,0.43,13.58,0,0.78,0,0,0,0.98,0,2.27,0.78,19.54,0.94,0,4.6,162.94,1.14,0,0.38,0,17.45,0,0,12.05,0,44.98,0,0.51,2.05,0,0.85
 60-70,0,21.43,3.19,0,39.4,0,5.8,0,20.98,0,0,0,13.83,0,0,0,0,0,17.89,0.85,1.73,3.04,113.88,1,0,1.7,0,16.74,0,0,6,0,18.95,0.84,0,4.43,0.71,0.94
 72-82,0,8.09,2.33,0,88.31,7.1,1.41,3.85,61.09,0,1.02,0,0.73,0,0,0.88,0,0,46.26,0.61,0,1.03,215.52,0.82,0.55,4.07,0,1.11,0,0,4.11,0,16.92,0,0.5,8.47,0.76,0
 84-94,0,25.33,11.14,0,87.94,0.7,3.33,0,46.55,1.59,0,0,2.54,0.8,0,0,0,4.42,46.73,11.05,0,5.61,133.98,0.66,0,1.75,0,27.94,0,0,1.23,0,17.7,0,1.03,2.24,0,0
 96-106,0,25.31,12.51,0.98,79.25,0.58,6.82,0,83.54,1.74,0,3.86,3.2,3.22,5.6,0,0.64,1.5,51.69,2.63,0,3.25,170.1,0,2.51,3.32,0,24.24,0,0.67,0.64,0,16.66,0,0,8.14,0,1.06
108-118,1.98,40.3,3.18,48.99,70.99,0.64,8.85,1.38,211.33,1.49,0,0,0.95,2.39,17.49,0,8.35,3.06,41.49,2.16,1.58,3.55,213.44,6.55,1.06,5.43,1.86,11.09,0,0.41,4.21,0,5.07,0.71,3.42,1.22,0.5,3.13
120,0,53.15,15.12,1.61,142.62,0,17.5,2.45,46.88,2.51,0,0,5.02,0,19.38,7.47,6.57,0,9.28,0,0,1.1,426.98,0,0,0,0,4.06,0,1.04,2.33,0,34.37,0,0,28.54,0,0
