stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,10.12,100.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.6,179.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.03,12.19,0,0,33.62,0,0,0,0,0,0,0
 10-12,0,0,0,14.09,0,5.1,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.77,4.6,0,0,3.38,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,3.34,0.96,0,0,0,2.51,0,0,0,0,0,0,1.01,0,0,0,5.27,54.28,0,0,0.88,0,0,5.58,0.94,2.18,11.1,0,0
 24-34,0,0,0.75,0,1.5,0,6.84,0,0,0,0,1.33,0,0,0,0,0,3.12,0,0,1.8,43.84,0,0,1.41,0,1.48,0,0,0.82,4.78,2.55,0
 36-46,0,0,0,0,0,0,7.64,0,0,1.87,0,0,0,0,0,0,0,1.62,0,2.66,1.31,25.23,0,0,0,0,0.78,0,0,0,10.11,0.65,0
 48-58,0,0,0,0,0,0,9.88,0,0.64,1.68,0,0,0,0.51,0,0,0,3.16,0,0,0,18.68,3.58,0,0,0,2.81,0,0,0,4.85,0,0
 60-70,0,0,0,0,0,0,3.63,0,0,0,0,0,2.33,0,0,0,0,1.33,0,0.65,0,16.68,0,0,3.91,0,0,0,0,0,2.93,0,0
 72-82,0,0,0,0,0,0,7.03,0,0,7.4,0.65,0,0,0,0,0,0.57,1.57,0,0,0,8.24,0,2.93,0.56,0,1.54,0,0,0,0,0,1.94
 84-94,0,0,1.05,0,0.75,0,1.53,0,0.75,2.03,0,0,0.63,0,0,0,0,8.08,0,0,0,12.83,1.45,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.25,0,2.74,0,0,0,0,0,0,0,1.25,0,0,3.88,0.71,0,0,12.27,0,0,1.03,0,3.56,0,0,0,0,0,0
108-118,0,0,0,0,0.74,0,11.94,0.42,0,9.78,0.76,0,0,0.72,0,0.43,0,5.73,0,1.74,1.12,21.83,0,0,0,0,2.53,0,0,0,1.33,0,0
120,0,0,0,0,1.23,0,18.32,0,0,10.65,3.28,0,0,0,0,2.32,0,3.51,0,0,0,27.11,0,0,0,0,2.14,0,0,0,0,0,0
