stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,104.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,8.88,0,0,0,0,0,0
  7-9,4.11,0,0,3.29,0,0,3.61,0,0,0,0,3.78,0,0,0,0,0,0,0,0,73.44,0,0,0,11.8,0,4.81,0,0,0,0,0
 10-12,0,0,0,4.25,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,59.22,0,0,0,21.23,0,0,13.48,7.71,0,0,0
 14-21,0,0,0,0.87,2.91,0,1.34,0,0,0,0,0,0,0,0,0,0,3.9,0,0,3.86,0,0,0,0,1.52,0,0,0.98,2.9,0,0
 24-34,0,0,0,0,0,0,2.56,0,0.63,0,0,0,0,0,0,0,0,2.13,0,0,54.96,1.55,2.29,0,0,3.75,0,0.84,0,14.18,0,2.52
 36-46,0,0,0,0,0.65,0,6.96,1.19,0,1.54,0.66,0,0,0.81,0,0,0,4.2,0,0.58,116.49,0,1.9,0,0,5.49,0,0,0,11.82,0,0
 48-58,0,0,0,0,3.95,0,19.57,0,0.47,3.25,0,0,0,0,0,0,0,3.3,0.77,0.54,108.73,0,1.61,0,0,0.43,0,0,0,14.41,0,1.82
 60-70,0,0,0,0,1.54,0,16.01,0,0,1.44,0,0,0,0,0,0,0,5.85,0,2.62,124.28,0,0,0,0,0,0,0,0,14.83,0,0
 72-82,0,0,0,0,6.72,0.5,19.77,2.98,0,3.6,0,0,0,0,0,0,0,5.34,0,0,92.08,0,0,0.56,0,2.48,0,0,0,13.16,1.91,2.68
 84-94,0,0,0,0,1.54,0,19.81,0,6.97,6.95,0,0,0,0,0,0,1.72,12.5,0,0.6,54.36,0,0,0,0,5.48,0,0,0,16.85,1.24,7.41
 96-106,0,0,0,0,0.77,0,20.25,0,0,5.88,0,0,0.78,0,0,1.49,0,13.58,0,0,15.64,0,0,0,0,0,0,0,0,6.1,0,1.76
108-118,0,0,2.91,0,6.63,0,26.46,0,0,3.93,1.72,0,0,0,0.63,0,0,15.19,0,1,72.14,0.43,1.56,0.56,0,7.06,0,0,0,0,0,0
120,0,0,0,0,4.32,0,4.92,0,0,18.35,0,0,0,0,0,0,0,3.01,0,2.55,131.1,0,1.11,0,0,7.35,0,0,0,0,0,2.97
