stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,102.7,1643.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0
  5-6,60.88,1121.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.71,0,0,0,0,33.74,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.4,0,0,17.27,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,193.4,3.21,0,0,43,4.29,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.76,0,0,0,27.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.16,0,0.84,0,0.96,0,0,0.89,0,0,0,0,0,0,0,0,0,1.72,0,0,142.77,0.81,2.88,0,0,0,0,4.37,0,82.25,0,0,0,0
 24-34,0,0,0.66,0,0,0,9.54,0,0,6.54,0,0,0,0,0.67,0,0,0,0,0,0,8.33,926.62,0,19.7,4.47,0,0.6,0,7.1,0.72,203.53,0,0,0,0
 36-46,0,0,0,0,0,0.71,90.25,0,0,28.78,0,0,0,0,0,0,0,13.61,1.47,0.79,0,0.6,1786.04,0,15.64,0,0,1.83,0,3.79,0,360.16,0,3.61,0,0
 48-58,0,0,0,0,8.1,0.44,379.47,0,0.94,67.23,0,0,0,16.83,0,0,0,11.58,0.45,19.39,5.3,1.89,2382.27,0,11.24,7.9,0,0,0,2.68,0,418.87,0,1.99,0,0.63
 60-70,0,0,0.7,0,1,0,507.1,0,0,32.8,0,0,0,0,0,6.5,0,17.84,0,20.54,0,0,2005.27,0,6.05,0,0,5.79,0,0.67,0,280.51,0.59,0,0,0
 72-82,0,0,4.09,0,9.08,1.74,518.23,13.45,0,32.59,0.99,0,0.66,0,0,0,0,0,0,19.16,0,0,1572.71,1.23,9.05,0,0,0,0,10.36,0,178.44,0,1.24,4.75,0
 84-94,0,0,0,0,10.1,0.68,295.74,0,0,24.39,0.66,0,0.7,0,0,0,0.69,0,0,27.27,1.67,0,993.65,0,3.69,1.14,0,1.25,0,24.76,0,88.84,0,3.41,0,0
 96-106,0,0,0.99,0,1.46,0,318.39,0,2.03,28.1,0,0,0,1.04,0,5.57,0.84,0,0,17.82,1.09,6.59,880.74,0,13.28,1.55,0,0.73,0,7.15,0,50.8,0,0.79,0.61,14.34
108-118,0,0,0.57,0,10.51,0.75,255.2,0,0,32.98,0,0,0,0,0,7.51,0,1.09,4.99,11.24,0,0,1094.46,0,6.42,0.57,0,0,0,9.79,0,37.76,0,0,0,2.37
120,0,0,1.37,0,34.83,0,169.09,0,7.2,33.71,2.91,0,0,3.38,0,0,0,0,0,14.89,0,0,1197.75,0,23.11,0,0,2.64,0,7.25,0,37.7,0,0,0,0
