stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58,0,0,0,0,3.29,0,0,0,0,0,0
 10-12,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,71.64,0,0,0,4.1,0,0,0,0,0,0,0
 14-21,0,0,5.58,0.99,0,0,0,0,0,0,0,0,0,2.88,0,0,0.92,7.71,0,0,0,0,0,0,7.63,0,0,0,0
 24-34,0,0,16.44,4.9,4.45,0,7.92,0,0,0,0,0,0.67,8.17,0,0,0.8,33.04,0.83,0,3.65,0,34.46,0,4.94,0,5.69,0,0
 36-46,0,0,2.65,9.43,1.06,0,6.55,0.72,0,0,0,0,0,3.57,0,0,0.73,37.35,0,0.81,0.61,0,12.87,0,5.4,0,1.79,0,2.12
 48-58,0,0,3.68,6.58,0,0,8.04,0,0,0,0,0,0,7.04,0.84,0.54,0.71,34.2,0,0,0,3.66,11.71,0,4.68,0,2.58,0,0
 60-70,0,0,2.59,5.13,1.49,0,0,0,0.76,0,0,0,0,14.77,0,0,0,53.15,0,0,1.72,0,1.82,0,4.36,0,0,0,0
 72-82,0,0,5.74,1.43,0,0.85,1.82,0,0.55,0,1.06,0,0,19.05,0,0,0,56.16,0,0,0.8,0,1.91,0,7.22,2.06,0,0,0
 84-94,0,0,4.47,2.91,1.14,0,4.08,0,0,1,0,0,6.93,3.69,0,0,0,33,2.58,1.88,8.01,0,3.4,0,0,1.22,6.58,0,0
 96-106,0,0,0,1.54,0,0.75,13.99,0,2.57,1.38,0,0,0,4.18,0,0.73,0,13.75,0,0.6,0,0,0.68,0.76,0.68,0,0,1.44,5.14
108-118,0,0,10.63,6.88,0,0,10.52,0.92,0,0,0,0.44,0,10.31,0,3.97,0,31.18,0.81,0.48,0,0,3.29,0,0,0,0,0,0
120,0,0,8.32,7.82,0,0,21.11,0,0,0,3.73,0,11.42,32.32,0,10.64,4.8,184.62,16.67,1.46,0,0,0,0,0,0,0,0,0
