stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,55.63,570.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.06,0,0,0,0,0,0,0,0
  5-6,0,115.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,22.62,0,0,0,0,0,0,0,0
  7-9,4.3,0,5.48,0,14.55,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.1,0,6.07,0,0,0,0,0,0,0,0,0,0,0,43.9,0,28.31,0,8.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,35.16,0,0,0,0,1.11,0,0,2.23,0,0,0
 24-34,0,0,0,0,1.38,0,0,0,0,0.6,0,0,0,0,0.72,1.35,18.82,0,0,1.71,0,0,2,1.54,3.46,0,1.91,0
 36-46,0,0,0,0,3.01,0,0,0,0,0,0,0,0.85,0,0,0,26.32,0,0,0,0.81,0,0,0,13.19,0,0,0
 48-58,0,0,0,3.1,17.81,0,0,0.37,3.24,0,0,0,0,0,3.96,0.48,35.45,0,0,0,0,0,0,0,15.47,0,0,0
 60-70,0,0,0,0.71,11.07,0,0,0,3.64,0,0,0,0,0,6.4,0,74.31,0,0,0,0,0,0,0,6.24,0,0,0
 72-82,0,0,0,0,25.34,0,0,0,0,0,0,0,0,0,1.18,0,45.12,1.22,0,4.94,0,0,0,0,2.1,0,0,0
 84-94,0,0,0,1.28,33.34,0,0,0,0,0,0,0.62,0,1.19,1.61,0,20.3,0,0,0.69,0,0,0,0,4.96,0,0,0
 96-106,0,0,0,8.48,22.48,0,0,0,0,0,0,0,0,0,0,0,24.22,0,0,0,0.64,0,0,0,0,0,0,0.72
108-118,0,0,0.74,0,18.81,0.64,0,0,1.65,0,0.71,0,0,0,1.93,0,28.07,0,0,1.14,1.57,0,0,0,0,1.01,0,0
120,0,0,0,1.69,6.78,0,1.8,0,1.45,0,0,0,0,0,0,0,87.01,0,0,0,0,0,0,0,0,0,0,0
