stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.51,88.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.17,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.5,0,0,3.12,0,0,0,0,0,0,0,0,0.99,0,0,128.9,0,4.33,0,0,0,0,0,1.73,0,0,82.38,0,0,0,0,0
 24-34,0,0,2.39,4.1,0,0,40.43,0,0,2.81,0,0,0,0.65,0,0,4.11,0,4.5,0,0,636.94,10.1,13.04,6.82,0,0,9.69,0,0,0,0,218.76,0,0,0,0,0
 36-46,0,0,0,4,0,0,111.19,1.03,0,26.05,0,0,0,0,0,0.77,0,4.35,9.08,1.4,1.63,1173.03,0,12.42,6.37,0,0,1.09,0,0,0.88,0,303.61,0,0,0,0,1.44
 48-58,0,0,0,13.24,0,0,285.17,0,2.03,66.49,0,2.45,0,0.5,4.83,9.79,0,1.99,7.59,2,0.42,1635.13,0.5,18.69,9.92,0,0,0,0,0,0.53,0,322.21,0,0,6.85,0,3.42
 60-70,0,0,0,9.16,0,0,562.67,3.94,0,107.52,0,0,0,0,0,5.58,0,0.59,27.78,0.76,0,1865.96,0,13.74,6.06,0,1.65,3.12,0,0,0.65,3.89,304.86,0,0.8,0,1.33,1.56
 72-82,0,0,0,7.48,4.47,0,1063.86,0,9.47,192.63,2.38,0,0.55,0,0,14.04,0,1.69,65.37,2.08,4.31,2216.61,0,16.22,17.64,0,0,1.39,0,0,3.06,0,262.58,0,0.87,2.85,0,3.58
 84-94,0,0,2.48,15.05,20.15,8.78,867.74,0,0,129.58,0,0,4.67,1.25,2.32,3.49,0,1.55,65.88,1.01,7.06,1439.35,0,19.72,9.84,0,0,3.73,0,0,0,0,160.02,0,0,0.8,1.52,0
 96-106,0,0,0,20.26,5.31,0,987.96,1,3.57,222.87,2.2,0,1.73,1.51,0,22.91,0,5.6,50.73,0,0,1458.41,0,20.43,17.56,0,1.51,13.47,3.82,0,0.73,0,107.48,2.73,0,11.51,1.03,0
108-118,0,0,2.58,10.74,1.31,0,924.97,1.05,3.34,166.92,0.58,0,3.61,1.73,13.03,17.61,9.23,7.9,49.45,2.3,0.54,1456.26,0.54,16.29,16.88,0,0,12.08,0,0,0,0.66,72.47,0.68,0,3.31,0.97,5.45
120,1.12,0,0,8.86,6.93,0,804.18,0,0,217.37,1.68,4.21,2.45,0,0,16.82,1.23,1.33,33.61,0,2.23,2309.15,0,6.88,36.43,0,0,16.38,2.5,0,3.15,0,44.5,0,0,0,4.47,1.64
