stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,56.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.78,3.38,0,0,0,0,0,0,0,0,0,0,0,0,36.31,0,3.73,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.64,0,8.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,17.16,0,0,0,1.06,0.99,0,0
 24-34,0,0,0,1.07,1.5,0,0,0,0,0,0,0,2.66,0,0,20.51,0,0,1.68,0,2.77,0,0
 36-46,0,0,0,0.81,5.22,0,0,0,0,0,0,0,1.83,0,5.47,36.89,0,0,0,0,7.46,2.03,0
 48-58,0,0,0,3.91,10.97,0,1.86,0,0,0,0,0,4.98,0,0,39.49,1.22,0,0,0,4.83,6.58,0.54
 60-70,0,0,0,0,31.05,0,4.45,0.58,0,0,0,0,3.06,11.86,0,41.14,0,0,0,0,7.53,0,2.81
 72-82,0,0,0,0,6.88,0,2.29,0,0,0,0,1.56,6.67,0,0,23.32,1.27,0,0,0,1.58,0,0
 84-94,0,0,0,3.67,7.52,0.62,0.75,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.02,0,0,0,2.66,0,1.43,4.01,1.11,0,0,0,0,0,0
108-118,0,0,0,0,5.46,0,0.48,0,1.49,0,1.93,0,1.8,0,0,12.4,0,0,0,0,0,0,0
120,0,0,0,0,7.25,0,4.2,0,0,4.77,0,2.07,2.21,0,0,59.31,0,0,0,0,0,0,0
