stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,10.77,0,0,3.24,0,0,0,0
 14-21,0,0,0,0,0,0,1.23,0,0.81,0.95,0,0,1.53,1.79,0,0,0
 24-34,0,0,1.65,0,0,0,0,0,54.76,0,0,0,0,12.7,0,0,0
 36-46,0,0,6.88,0,0.72,0,0,0,95.58,0,0,0.64,0,33.58,0,1.99,0
 48-58,0,0.37,10.54,0,2.16,0,0.87,4.89,161.95,0,0,0,0,30.43,0,0,0
 60-70,0,0,35.95,1.41,6.57,0,6.51,1.12,179.53,0,0,0,0,30.22,0,0,0
 72-82,0,2.02,37.16,0,19.49,0,5.12,0,179.82,0,0.9,0,0,27.22,0,0,0
 84-94,0,0,19.04,0,2.9,0,1.55,0,59.26,0,0,0,0,7.08,0,0,0
 96-106,0,0,31.24,0,3.07,0,0,0,64.6,0,0,0,0,0,0,0,0
108-118,2.91,0,13.51,0,16.65,0,2.3,0,63.07,0,0,0,0,0,2.45,0,0
120,0,0,29.7,0,82.22,3.86,18.44,0,276.23,0,0,0,0,19.23,0,0,4.9
