stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,neural,periderm,spinal_cord,vasculature
 14-21,178.34,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,105.91,0,0,0,0,0,0,0,0,0,0,0,2,0,0.84,0
 36-46,110.44,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0
 48-58,3.39,0,0,0,0,0,0,0,1.16,0,0,0,7.84,0,0,0
 60-70,14.12,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0
 72-82,1459.31,0,0,0,0.55,3.03,2.05,0.92,0,0,0,2.99,3.31,0,0,5
 84-94,560.81,0,0,0,0,0,0,0,15.04,0,0,4.17,0,0,0,0
 96-106,4047.71,0,1.85,10.31,0,0.97,0,1.73,10.92,1.24,0.61,6.56,21.66,5.31,0,0
108-118,4217.5,0,0.49,0,0,0.8,0,1.43,10.84,0,0.61,1.3,8.59,3.61,0,0
120,63.74,0,2.68,0,0,0,0,0,13,0,0,2.78,3.66,0,0,0
