stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.57,99.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0.9,0.99,0,0,0,0,0,2.81,0,0,0,0.9,0,0,0,0,0,0,1.27,57.27,0,1.55,0,0,0,1.37,0,6.66,2.95,36.09,0,0,0,0,0
 24-34,0,0,1.76,0,1.28,0,0,8.12,0,0,0,1.86,0.69,0,0,0.81,0,0,0,0,5.91,0,2.05,436.21,0,24.35,0,0,4.22,0,0,0,0,83.04,0,0,0,0,0
 36-46,0,0,0.95,0,2.78,0,0,31.11,0,1.06,0,14,0,0,0,0,0,0,0,0,7.38,0,2.58,1261.61,0,10.92,0,0,0,0,1.31,0,0,225.83,0,0,0,0,0
 48-58,0,0,0.4,0,1.66,0,0,174.3,0,0,0,26.24,0,0,0.56,0,0,0,0,0,19.22,1.2,0.89,1549.22,0,2.81,0,0,0,0,0,0,0,284.78,0,0,3.58,0,0
 60-70,0,0,0,0,3.06,0,0,965.74,0,0,0,67.76,0,0.71,2.37,0,0,1.16,0,2.61,30.93,0,4.74,2224.73,1.36,13.45,1.01,0,0,0,0,0,0,413.09,0.77,0,0,0.81,9.83
 72-82,0,0,2.76,0,10.99,0.78,0,1267.38,0,0,6.95,75.55,0,0,0.59,0,0,0,1.17,3.31,36.56,0.93,2.68,1899.71,0,10.04,7.16,0,0,0,0,0,0,244.02,0,0,1.19,7.07,5.26
 84-94,0,0,2.36,0,13.59,8.62,0,912.35,0,0,0.77,73.04,0.57,0,2.24,9.98,0,0,0.83,0,37.6,0,3.82,1219.37,0.89,11.39,2.77,0,2.77,0,1.19,0,0,144.76,0,0,4.98,1.34,0
 96-106,0,0,1.17,0,6.18,1.77,0,1221.52,0,0,0,44.22,1.38,0.96,0,1.85,0.81,0,1.23,0,19.36,0.75,0,1120.3,0,11.6,9.55,0,1.24,0,0,0,0,97.03,0,0,0,0,0
108-118,0,0,1.11,0.74,17.55,1.44,0.78,1057.54,1.3,0,1.58,85.25,0.52,0,1.07,1.63,0,0,0.55,0,15.98,0,2.29,1302.7,0,5.12,2.76,0,0.66,0,0,0,0,74.2,0,0,0,0,0
120,0,0,0,0,13.34,0,0,712.13,0,1.21,6.89,102.47,1.12,2.63,3.02,0,0,0,0,0,22.28,0,0,1871.04,0,32.51,14.25,0,0,0,0,0,0,59.18,0,9.73,0,0,0
