stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,21.54,314.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.28,0,0,0,0,0
  5-6,28.93,475.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0
  7-9,8.71,23.63,0,25.19,0,0,0,0,0,0,0,0,17.73,0,0,0,0,190.8,0,0,33.85,10.44,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,15.16,0,0,7.07,0,0,0,0,0,0
 14-21,0,0,0,0,2.11,0,0,25.64,0,0,0,0,0,0,0,0,0,48.21,0,0,0,1.87,0,1.18,33.65,0,0
 24-34,0,0,0,0,0.76,0,0,990.64,0,0,0,0,0,0,0.63,3.41,0.87,121.63,0,0.78,0,12.63,0,0,37.95,2.83,0.96
 36-46,0,0,0,0,0.62,0,0,1595.76,1.4,0,0,0,0,0,0,3.42,0.78,118.07,0,1.21,0,1.16,0,0,63.14,7.2,1.67
 48-58,0,0,0,0,2.88,0,0,942.21,0,0,1.77,0,0,0,0,2.64,2.99,90.36,0,0,0,4.27,0,0,33.57,0,3.03
 60-70,0,0,0,0,0,0,0,856.11,0,0,1.26,0,0,0,0,1.37,0,45.41,0,0,0,0,0,0,25.24,0,0
 72-82,0,0,0.91,0,0,0,0,633.16,0,0.74,0,0,0,0,0,4.52,0.55,36.07,1.67,0,0,0.66,0,0,0,0,0
 84-94,0,0,0,0,0,1.72,0,727.34,0.91,0,0.78,0,0,0,0,0,0,10.84,0,0,0,0,3.03,0,0,0,0
 96-106,0,0,0,0,0,0,2.73,380.39,0,0,1.94,0,0,0,0,3.35,1.18,9.45,0,0,0,0,0,0,4.48,0,0
108-118,0,0,0,0,0,1.91,0,494.05,0.43,0.47,0,0.48,0,5.4,0,11.96,0.51,4.36,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,389.13,0,0,5.57,0,0,0,0,0,0,42.64,0,0,0,17.79,0,0,0,0,0
