stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,xanthophores
  5-6,17.95,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0
 14-21,0,0,14.71,0,0,0,0,1.04,0,0,4.6,0,0,0,3.34,0
 24-34,0,0,0,0.61,0,0.68,0,1.49,0,0,5.85,0.84,0,1.82,0.73,0
 36-46,0,0,0,1.55,0,0,0,1.85,0.55,0,3.48,0,0,1.5,0,0
 48-58,0,0.49,0,0.59,1.77,0,0,2.36,0,0.43,6.36,0,0,1.57,0.74,0
 60-70,0,0,0,12.44,0,1.18,0.68,0,0,0,10.38,0,0,0.58,1.2,0
 72-82,0,0,0.54,3.11,0,1.12,0,4.39,0,0,22.12,0,0,0.91,0,2.54
 84-94,0,0,0,5.45,0,0,0,7.52,0,0,4.59,0,0,2.59,5.13,0
 96-106,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0.97,0,0
108-118,0,0,0,1.58,0,2.86,0,2,0,0.76,2.98,0,0.74,0,0,0
120,0,0,0,2.26,0,0,0,0,0,0,11.87,0,0,0,17.7,0
