stage,endocrine_pancreas,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,presomitic_mesoderm,somites,spinal_cord
  5-6,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0.81,0,0,0,0.93,1.9,5.79
 24-34,0,0,0.95,1,0,0,0,0,0.78,0.96,46.35,0,0,0,0,0,0,4.57
 36-46,0,0,2.52,0,0.77,0,0,0,1.1,0,102.15,0,0,0,0,0,0,19.3
 48-58,0,0,14.46,0,2.61,0,0,0.87,1.84,0,121.14,0,0,0,0,0,0,12.7
 60-70,0,0,28.27,0,4.27,0,0,0,4.3,0,166.06,0,0,0,0,0,0,29.82
 72-82,0,0,40.98,0,7.08,0,0,0,2.71,0.79,194.48,0,0,3.96,0,0,0,17.58
 84-94,0.6,0.79,32,0,24.67,0,0,0,12.83,1.49,142.22,0,5.93,0,0,0,0,19.58
 96-106,0,0,24.13,0,22.46,1.38,0,0,7.39,0,192.45,0,8.08,0,0.81,0,0,15.34
108-118,0,0,37.58,0,15.96,0,0.44,0,3.21,0,144.64,0,0,0,0,0,0,9.55
120,0,0,12.32,0,2.03,0,0,0,4.31,0,148.71,0,0,1.86,0,0,0,0
