stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0
 14-21,0,1.2,0,0,0,0,0,0,0,0,0,10.36,0,2.29,0,0,0,0.85,0,4.63,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,86.28,0,1.72,0,0,0,0,0,13.07,0
 36-46,0,0,8.44,0,0.77,0,0,0,0,0,0,187.26,0,0,0,0,0,0,0,37.6,0
 48-58,0.44,0.41,29.27,0,9.69,0,0,0,6.27,0,0,251.36,0.71,0,0,0,0,0,0.56,34.86,0.47
 60-70,0,0,62.72,0,3.4,1.66,0,0,0.67,0,0,248.31,0,0.6,8.84,0,2.77,0,0,28.42,0
 72-82,0.56,2.28,70.23,0,3.35,0.66,0,1.62,3.93,0,0,212.4,0,1.05,1.42,0,2.56,0,2.8,8.8,0
 84-94,0,0,37.8,0,1.08,0,1.27,7.26,4.86,1.14,0,147.37,0,0.93,1.1,0,1.68,0,0,17.59,0
 96-106,0,0,27.68,0.6,0,0,0,0,0,0,0,71.89,0,0,0,0,0,0,0,1.02,0
108-118,0,0,33.27,0,3.25,0,0,0,0,0,0,113.67,0,0.6,0,0,0,0,0,0.46,0
120,0,0,38.23,0,0,0,0,0,0,0,1.81,182.94,0,0,8.85,3.68,0,0,0,1.91,0
