stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,214.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,137.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.42,0,0,0,3.22,0,0,0,0,0,0,0,0,25.33,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,0,0,0,23.17,0,0,0,8.24,0,0,0,0,0,0,0
 14-21,0,0,4.32,2.91,2.36,0,6.66,0,0,0,0,0.95,0,0,5.4,0,1.16,82.13,1.39,0,2.07,0,0,1.43,6.9,0,0,50.17,0,0,8.68,0,0
 24-34,0,0,0,5.31,1.93,0.61,51.91,0,0,8.58,1.43,0,0,0,16,0.81,9.18,341.7,0,0,2.2,0,0,0,0,0,1.36,95.99,0,0,25.26,0,0
 36-46,0,0,0,0,9.35,0,89.54,0,0,10.83,0,0,5.9,0.58,20.87,0,1.49,263.63,0,2,0.76,0,0,0,0,0,0,92.53,0,0,13.54,0,0
 48-58,0,0,3.87,0,21.58,1.39,109.92,0,0,1.38,0,0,6.09,3.35,24.31,0,0.63,136.72,2.93,0,0.93,0,0,2.64,0,0,0,45.17,0,0,16.01,0,18.84
 60-70,0,0,0,3.08,61.34,1.03,146.03,0,0,0.77,0,0,9.14,0,19.77,1.3,0.65,68.27,0,0,0.78,0,0,0,0,0,0,20.9,0,0,10.29,0,9
 72-82,0,2.29,2.51,0,29.21,4.55,79.06,0,0,1.55,0.55,0,0,0,16.17,0,0,57.82,0,0,0.97,0,0,2.29,0,0.65,0,12.38,0,0.52,32.62,0,21.33
 84-94,0,2.34,0,0,11.24,1.31,105.03,0,0,0,1.33,0,2.01,0,23.84,2.78,1.11,38.73,0,0,3.32,0,0,0.68,0,0,0,3.78,0,0,53.68,2.84,5.91
 96-106,0,0,1.34,5.55,24.95,0,80.04,1.11,0,2.16,0,0,1.47,0,18.45,2.56,1.19,49.14,0,0,0,0,0,1.73,0,0,0,3.67,0,0,25.81,1.44,7.05
108-118,0,1,0.97,0,22.84,0,94.17,1.11,0,3.5,1.41,0,5.17,5.23,22.69,2.16,0,42.61,0,5.4,0,0,6.96,2.92,0,0,0,5.19,0.54,0,34.13,1.71,17.45
120,0,0,4.98,0,43.98,0,99.05,0,0,3.84,0,0,0,0,29.25,6.05,0,97.08,0,0,0,0,0,0,0,0,0,2.14,0,0,46.2,0,0
