stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.37,0,0,0,16.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,7.72,0,0,0,0,0,0
 14-21,0,0,15.5,1.75,0,0,0,0,0,0,0,0,1.03,0,0,0,0.94,0,0,0,6.25,0,0,0,0,0,3.7,0,1.86,0,0,0,0
 24-34,0,0,56.33,0,0,0.62,0,0,0,0,0,0,1.03,0.84,0,0,7.94,0.76,0,12.57,35.26,0,0,0,0,0,21.07,0,0,0,0,0,0
 36-46,0,0,66.72,1.39,0,0.66,0.57,0.73,0,0,0.68,0,1.08,0,0,0,25.36,0,0,4.83,29.66,0,0,0,0,0,65.93,0.94,0,1.37,0.71,0,0
 48-58,0,0,52.07,8.64,0,2.95,0,3,0,0.61,2.34,0,0,0.65,0,0,39.31,0,0.95,11.39,45.44,0,0,0,0,0.56,34.34,0,7.19,0,0,0,0
 60-70,0,0,101.71,9.82,0,13.45,0,2.8,0,0,3.93,0,0,0,0,0,105.75,1.41,6.22,14.18,46.6,0,0,0,0,0,32.37,0,1.04,1.69,0,0,0
 72-82,0,0,52.55,11,0,2.62,2.57,5.17,0,0,2.19,0,0,0,0,0,243.44,0,8.8,15.16,71.78,0,0,0,0,0,34.43,0,0,0,0.71,0.61,0
 84-94,0,0,92.33,26.34,1.34,1.23,0.86,6.57,0,0,8.03,3.12,0.79,0,0,0.98,176.19,0,10.45,11.87,17.83,1.11,0,5.97,0,4.35,133.01,0.93,0,1.05,0,0,0
 96-106,0,0.81,128.51,13.39,0,3.31,0,1.35,1.5,0,7.32,0,0.93,0,0,0,218.85,0,2.83,6.28,60.42,0,0.81,0,0,1.05,174.12,0,0,3.99,0,2.17,0
108-118,0,0,109.43,20.7,0,2.07,4.18,3.97,2.73,0,1.69,0,0.49,0,0.93,0,194.54,0.73,5.63,2.86,41.99,0,0,0,0,2.67,106.36,0,0,4.08,0,1.34,3.17
120,0,0,98.51,27.4,0,6.45,3.89,5.65,3.57,0,0,0,0,0,0,0,263.44,0,10.7,1.86,25.14,0,2.49,7.01,0,14.82,100.67,2.89,4.78,0,19.96,3.15,0
