stage,blastomeres,eye,fast_muscle,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,21.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.66,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5.88,0,0,1.12,1.67,0.9,0,6.27,0.94,3.84,0
 24-34,0,0,0,0,0,0,3.84,0,9.01,0,0.6,0,0,0,1.75,0,0.61,3.93,0
 36-46,0,6.94,0,0,0,0,0.67,0,5.72,0,1.69,0,0,0,0,0,0,4.37,0
 48-58,0,7.5,0,0,0,1.08,0.8,0.51,5.25,0,0,0,0,0,0,0,0,0,1.33
 60-70,0,1.97,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,1.42,0
 72-82,0,0,0,0,0.75,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.56,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0
108-118,0,0.66,0.44,0.66,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
