stage,axial,blastomeres,erythrocytes,eye,fin_mesenchyme,immune,mesenchyme,neural,spinal_cord,vasculature
  3-4,15.46,0,0,0,0,0,0,0,0,0
  5-6,0,14.16,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.39,0,0
 10-12,0,0,0,0,0,0,0,3.91,0,0
 14-21,0,0,0,0,0,0,0,0,2.21,0
 24-34,0,0,0,0.66,0,0,0,5.68,1.68,0
 36-46,0,0,0,0,0,0,0,4.5,1.86,0
 60-70,0,0,0,3.52,1.88,0,0,3.28,0,0
 72-82,0,0,0,3.46,0,0,0,1.15,0,0
 84-94,0,0,1.24,8.71,0,0.86,0,0,0,0
 96-106,0,0,0,0,0,7.09,1.51,0,0,0
108-118,0,0,5.01,0,0,5.45,0,4.46,0,0.98
120,0,0,3.19,1.29,0,7.87,0,2.22,0,0
