stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.25,335.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.14,138.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,16.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.77,0,0,0,0,0,0,18.15,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,62.01,6.2,0,3.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.57,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,14.13,0,11.04,0,0,0,10.58,0,0,0,0,0
 14-21,0,0,0,2.61,0,2.53,0,0.91,0,0,0,1.3,0,0,0,0,0,0,0,0,0.96,0,0.9,8.89,103.9,0,0,0,0,3.14,0,1.69,0,0,0,0
 24-34,0,0,0,0,1.46,0,0,5.92,0,0.7,0,0,0,0,0,0,1.12,0,0,0,1.47,0,0,32.08,4.1,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.61,0,4.05,0,0,3.77,0,0,0,1.54,0,0,0,0,0,0,0,2.22,2.9,0,3.15,102.04,9.51,0,0,0,0,0,0,13.62,0,0,0,1.47
 48-58,0,0,0,0,3.19,0,0,32.62,0,0,1.51,7.83,4.19,0,0.6,0,0,0,0,0,1.81,0,0.46,235.83,0,0,0,0,4.9,0,0,12.12,0,1.62,0,0
 60-70,0,0,4.68,0,0,1.42,0,60.37,0,0,10,5.91,10.42,0,0,0,0,0,0,0,20.54,0,1.78,537.4,0,0,0,1.13,1.79,0,0,13.17,0,2.66,0,0
 72-82,0,0,2.43,0,2.4,0,2.62,103.08,0,0,0,11.28,49.79,0,0,0,0,0,0,0,5.15,0.78,1.82,452.29,0,0,0,0,0,0,0,8.39,0,1.88,0.78,0
 84-94,0,0,0,0,0.67,0,2.79,44.28,0.56,0,0.6,16.82,48.23,0,0,0.65,0,0.73,0.61,0,2.61,0,0,329,0,0,0,5.83,7.78,0,0,3.69,1.79,0,3.02,0
 96-106,0,0,1.1,0,0.58,0.73,9.09,97.01,0,0,0,11.58,54.29,0,0,0,0,0,0,0,6.08,0.59,2.14,395.04,0,1.35,0,6.05,0.59,0,0,0,0,0,1.12,0
108-118,0,0,0.57,0,2.91,0,60.65,86.5,0,0,0,12.19,63.46,0,0,0,0.42,0,0.67,0.44,6.18,1.31,0,467.16,2.09,0,0,1.91,0.54,0,0.94,4.37,0,0.61,1.76,0
120,0,0,0,0,9.36,0,28.34,83.64,0,0,0,10.28,100.42,0,0,0,0,0,0,0,7.79,0,0,616.32,4.72,0,0,4.76,0,0,0,13.56,0,0,0,0
