stage,blastomeres,erythrocytes,eye,hatching_gland,heart,immune,ionocyte,liver,neural,otic,paraxial_mesoderm,periderm,xanthophores
  5-6,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.69,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.99,0,4.59,0,0
 14-21,0,0,0,0,0.92,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.45,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 72-82,0,1.45,0,0,0,0,0.57,0,0,0,0,1.74,0
 84-94,0,0,0,0,0,0.95,0.6,0,0,0,0,0.6,5.7
 96-106,0,0,0,0,0,0.66,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.82,0,0,0.92,0
120,0,0,0,0,0,2.88,0,0,0,4.02,0,0,0
