stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,32.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,5.05,0,0,36.8,0,0,0,0,7.16,0,0,0,0,0,0,0,0,198.02,0,0,0,34.3,0,7.87,0,0,0,0,0,0,0
 10-12,11.29,14.15,0,0,73.81,0,0,0,0,11.91,0,0,0,0,0,0,0,0,316.42,0,0,0,65.08,0,0,0,8.36,5.05,0,0,0,0
 14-21,0,0,4.65,1.38,3.97,0,0,4.14,0,0,0,0,0,0,0,1.24,0,0,151.54,0.95,0,0.98,0.84,0,0,2.17,0,2.58,42.43,0,0,0
 24-34,0,0,1.6,0,12.02,0,0,9,0,0,0,0,0,0,0,5.98,0,0.82,304.7,0,0,0.69,0,0.75,0,0,0,0,77.29,0,0,1.71
 36-46,0,0,0.61,0,33.77,0,0,27.07,0,0,0,0,0,0,17.87,14.2,0,2.68,454.97,0,1.9,0.58,0,0,0.81,0,0,0,114.45,0,1.53,29.98
 48-58,0,0,0,0,78.2,6,0.42,39.13,0,0,1.83,0,0,0.87,3.5,12.8,0.77,3.71,382.6,0,0,0,0,0.66,0,0,0,0,60.34,0,0,20.68
 60-70,0,0,0,0,143.19,0,0,28.86,0,0,0,3.85,0,0,2.46,14.07,0,0,340.49,0,0,0,0,0,0,0,1.35,0,22.96,0,0,32.07
 72-82,0,0,0.65,0,76.81,0,0.94,12.88,0,0,0,0.59,0.64,0,6.37,13.55,0.87,1.51,204.46,0,0,4.12,0,0,0,0,0,0,25.23,0,0,5.62
 84-94,0,0,0.95,0,99.84,0,0,10.87,0.84,0,0,0,0,0,1.28,6.93,0,0.57,167.58,0,0,1.22,0,6.29,0,0,0,0,6.11,0.71,0.97,4.94
 96-106,0,0,0,0,44.44,0,0.86,3.14,0,0,0,0,0,0,0.6,10.09,0,0.92,112.44,0,0,0.64,0,1.83,0,0,0,0,2.88,0,0,2.32
108-118,0,0,0,0,30.8,0,0,11.96,0,0,0,0,3.25,0,3.21,1.93,0,0.6,67.41,0,0,0,0,0,0,0,0,0,9.94,0,3.16,0.98
120,0,0,0,0,27.97,0,0,7.04,0,0,0,0,0,0,0,9.77,0,0,80.47,0,0,0,0,0,0,0,0,0,0,0,0,0
