stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,145.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,212.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.7,9.86,0,3.85,0,0,24.73,0,0,0,0,0,0,0,0,0,0,0,0,0,212.32,0,0,0,84.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.19,0,0,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,675.5,24.21,0,0,227.27,4.24,10.28,0,39.29,0,6.57,0,0,0
 14-21,0,0,3.98,4.87,30.51,4.38,1.36,0,0,122.69,0,0,0,0,0,0,0,11.83,0,6.77,137.83,4.11,20.14,27.81,12.12,0,4.02,2.06,68.2,0.81,409.19,0,0,0
 24-34,0,0,3.58,3.33,3.69,0,3.42,0,0,128.81,0,0,0,0,0,3.39,0,4.99,0,1.87,379.32,1.32,117.51,10,0,1.57,0,0,29.56,2.64,244.41,0,0,0
 36-46,0,0,0,0,2.8,0,5.47,17.53,4.16,77.73,0.56,2.15,0,0,0,5.51,0,8.78,0,1.34,698.32,0,146.29,8.62,0,0,0.73,0,20.62,0,162.19,0,0,0
 48-58,0,0,0,0,0,0.48,45.69,0,0,91.17,0,0,0,0,0.97,1.75,0,10.29,0,8.74,814,0,80.66,11.41,0,2.29,0.65,0,9.13,0,192.5,0,0,0
 60-70,0,0,0,0,3.05,0,200.58,0,1.48,88.47,1.26,0.84,3.78,0,0,11.82,0,18.73,0,3.42,907.76,0,66.06,13.72,0,3.77,0,0,2.19,0,221.7,0.8,2.55,0
 72-82,0,0,2.74,0,3.77,0.5,237.65,0,1,104.72,0.54,4.33,0,0,0,13.03,0,28.14,0,1.89,896.12,0,98.27,23.23,0,0,0,0,2.79,0,170.36,0,0,0
 84-94,0,0,2.23,0,2.44,0,262.29,0,0,75.99,6.47,0,8.96,4.29,1.91,17.57,1.55,24.96,0.89,1.16,716.54,0,88.25,43.17,0,4.2,1.4,0,17.72,0,163.65,0.84,1.18,1.09
 96-106,0,0,2.57,0.69,7.97,7.55,103.34,0,0,89.08,0,0,0.64,0,0,33.96,0,30.29,0,0,498.02,0,134.94,46,0,2.53,0,0,6.91,0,109.5,0,0,0.61
108-118,0,0,3.82,1.02,3.34,5.06,106.33,0,0.75,60.71,9.83,0,0,0.79,0,22.52,0,22.16,3.76,0.48,622.35,0,96.45,42.84,0,0.69,0,0,6.49,0,64.56,0,0.56,0
120,0,0,4.32,0,7.41,0,102.37,1.33,0,63.59,0,0,2.35,1.63,0,20.63,0,30.7,0,0,630.3,0,67.11,32.04,0,0,0,0,7.03,0,27.05,0,0,0
