stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0.94,0,2.81,0,0
 24-34,0,0,0,0,0,0,6.77,0,0,0.85,0
 36-46,0,0.69,0.98,0,0.94,0.78,1.1,8.3,3.73,0,0
 48-58,0,3.95,0,0,1.12,0,6.37,0,0.82,0,0
 60-70,0,0,0,0,1.09,0,0,0,0,0,0
 72-82,0,3.97,0.57,0,1.14,0,8.89,0,1.08,0,1.39
 84-94,0.68,1.46,0,0.73,1.38,0,0.96,0,0,0,0
 96-106,0,0,0,0,0,0,2.52,0,0,0,0
108-118,0,1.48,0,0,0,0,0,0,0,0,0
120,0,0,9.95,0,0,0,0,0,0,0,0
