stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.82,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,6.87,0,0,0,0,0
 24-34,0,0,0,0,208.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,2.47,0,0,0,0,0
 36-46,0,0,0,0,141.25,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,6.8,0,0,0,0,0
 48-58,0,0,0,0,213.71,0,0,0,1.54,0,0,0,0,0,0,0,0,0.41,2.16,0,0,0,23.86,0,0,0,0,0,0,3.07,0,0,2.7,0,0
 60-70,0,0,0,0,1334.66,0,0,0,0.6,0,0,0,0,0,0,0,0,0,5.75,0,0,0,28.74,0,0,0,4.19,0,0,2.89,0,0,0,0,0
 72-82,0,1.5,0.87,0,2152.28,0,0,0,14.75,0.71,2.9,0,0,0,0,0,0,3.96,22.46,0,0,6.51,62.92,0,0,3.03,1.85,0,0.58,3,0,2.21,3,0.77,8.75
 84-94,0,6.02,10.38,0,3024.21,0,0,4.47,2.45,2.37,0,0,0,0,0,0,1.48,0,20.88,0,1.94,0,75.95,0,0,0,10.69,0,0,0,0,0,0.73,0,0
 96-106,0,28.66,14.66,0,2839.52,18.51,9.96,0,49.75,0.85,0,2.28,2.03,0.95,0,1.05,9.27,0,27.17,1.22,2.78,0,114.02,1.59,2.06,0,9.94,0,0,3.11,0,0,3.75,0.74,1.79
108-118,0,2.57,7.05,2.05,3277.98,0,0,2.18,13.64,0.43,0,0,0,0.49,0,0,2.34,0,35.36,0,0,0,106.15,0,2.17,1.57,6.75,0,0,5,1.35,0,3.16,0,0
120,0,48.39,0,0,6823.21,0,22.48,0,46.63,6.72,0,0,13.14,0,2.83,0,2.77,0,35.14,0,0,8.32,268.77,14.68,3.67,0,2.32,2.99,0,14.04,2.83,0,1.44,0,0
