stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,86.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,277.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.09,14.96,0,0,0,80.54,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,966.41,5.29,0,0,47.21,0,0,0,3.78,0,3.24,4.54,0,0,0,0,0
 14-21,0,0,0,2.15,6.19,0,14.88,0,0,0,99.28,0,1.97,1.82,0,0,0,0,0,0,4.09,0,2.08,705.61,0.82,0,0,0.86,0,0,0.81,0,0,6.03,1519.15,0,0,0.9,0,0
 24-34,0,0,0,2.03,0,0,27.15,0,0,0,316.2,0,0,1.45,0,0,0,0,0,0,50.08,0,32.73,1855.92,0,5.18,0,0,0,6.73,0,3.5,1.1,3.44,3012.11,0,0,11.62,0,0
 36-46,0,0,0,1.9,2.32,0,18.45,0,0,0.78,641.8,0,0,4.73,0,0,0,0,0,12.26,233.85,0,53.67,1747.33,0.55,3.26,1.34,0,0,7.61,0,6.58,0,0,4308.76,0,0,8.94,0,8.8
 48-58,0,0,0,10.85,0,0,110.78,6.14,2.74,2.55,1186.28,0,0,3.83,0.46,3.23,0,0.84,4.25,1.55,201.32,0,51.32,1022.83,0,3.15,0,0,5.19,14.34,0,0,0,0,4907.22,0,0,12.76,0,4.24
 60-70,0,0,0,13.37,0,0,54.64,1.28,0.9,0,2116.23,1.59,0,10.62,5.85,0,0,0,0,7.93,264.76,0,35.83,676.99,0,2.27,5.81,0,0,0,0,0,0.65,0,3169.05,0,2.06,32.81,0,0
 72-82,0,0,0,4.6,0,0,121.92,0,0,0,2045.79,0,0,3.37,0,0,0.58,2.88,0,0,276.11,1.14,56.68,494.31,0,1.83,1.06,0,0,0.73,0,0,0,0,2828.65,1.58,2.49,50.19,2.38,0
 84-94,0,0,0,10.78,1.34,0.92,96.72,0,0,6.16,1830.34,4.87,0,1.5,0.93,0,6.96,1.1,0,0,253.23,1.31,35.45,366.49,0.65,4.14,2.09,0,0,2.42,0,0,0.63,0,2112.43,4.26,0.93,96.12,7.78,7.91
 96-106,0,0,0,34.23,13.69,0,186.96,0,2.43,0.65,1403.52,4.52,0,12.86,1.87,4.16,0.77,3.57,11.53,0,221.56,0,27.99,237.42,1.46,17.35,0,0,0,5.06,0,0.69,0,0,2914.1,0,0.66,58.7,2.94,0
108-118,0,0,0,23.08,3.88,0,36.87,0,0,2.92,1586.56,2.57,0,2.32,1.63,0.43,2.2,0,0,0,274.77,0.69,33.97,337.52,0,6.28,0,0,0,3.59,0,0,0,0,1592.15,0.57,0.41,71.18,0,0
120,0,0,0,15.84,9.19,0,58.05,0,6.35,0,2474.93,0,0,4.46,0,0,0,0,0,0,321.31,0,23.52,529.66,0,35.58,0,0,0,1.1,0,0,0,0,2478.26,0,3.38,111.41,0,0
