stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,hatching_gland,heart,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,neural,paraxial_mesoderm,periderm
  7-9,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0
 10-12,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,1.04,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.72,0,0.81,0,0,0,0,0.77
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,6.69
 48-58,0,0,0,0,0,0,2.79,0,0,0.54,0,0,0,0,0,3.99
 60-70,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,2.62
 72-82,0,0,0,0,0,0.66,0,0.51,0,0,0,1.59,0,0,0,1.67
 84-94,0,0,0,0,0,0,0.71,0,1.54,0,0,0,0,0,0,12.45
 96-106,0,0,0,1,0,0,0,0,0.67,0,0,0,0,0,0,5.84
108-118,0,0,2.95,0,1.45,0.57,0,0,0,0,3.02,2.58,2.41,0.82,0,11.29
120,0,0,0,0,0,0,0,0,2.21,0,0,0,0,1.36,0,0
