stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,70.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.22,0,0,0,4.58,0,0,0,4.2,0,0,0,0,0,0,0,64.45,0,43.32,0,0,0,0,0,0,0
 10-12,0,22.6,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,61.09,6.15,49,0,0,7.77,0,0,0,0
 14-21,0,0.89,2.1,1.1,0,1.13,0,0,0,0,0,0,0,0,0,0,0,22.78,1,0,0,6.31,0,1.77,8.54,0,0
 24-34,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,3.31,0,0,16.18,0,0,0,0,0,0.72,2.85,3.27,0
 36-46,0,0,3.74,0,0,0.71,1.19,0,3.58,0,0,0,0,0,1.33,0,1.34,7.63,0,0,0,0,0,0,7.33,0,2.67
 48-58,0,0,0,0,0,7.36,0,0.78,2.88,0,0,0.48,0,0,3.48,0,0.37,1.37,0,0,0.38,0,0,0,11.7,0.9,1.63
 60-70,0,0,0,0,0,7.85,0,0,2.6,0,4.23,0,0,1.83,5.67,0,0.86,5.51,0,0,0,0,0,0,0,0.92,0
 72-82,0,0,0,0,0,7.49,0,1.53,0.69,0,0,1.57,0,0,10.53,0,0,2.37,0,0,0,0,0,0,0,2.14,0
 84-94,0,0,1.72,4.43,0,7.7,0,0,0,0,0,0,0.69,0.72,6.69,0,1.2,0.71,0,0,0.69,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.73,0,0.57,6.87,0,0,0,0,0,8.81,1.14,0,11.63,0,0,0,0,0,0,0,0,0
108-118,0,0,0.93,0,3.16,11.64,0,0.75,5.47,0,0,0,0,0,9.65,0.83,0.47,3.45,0,0,0,0,0,0,0,1.12,0
120,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,12.12,0,0,0,1.42,0,1.81,0,0,0,0,0,0
