stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,296.07,7420.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.12,0,0,0,0,0,0,0,0,0
  5-6,340.73,4460.58,0,20.98,0,0,0,0,0,0,0,32.82,0,0,0,0,0,0,0,0,0,0,148.98,26.17,0,0,60.33,0,59.4,0,0,0,0,0,0,0,0,0
  7-9,65.02,85.77,0,157.84,0,0,243.23,0,0,0,0,142.35,0,0,0,0,0,0,0,0,0,0,2124.63,68.89,0,0,551.06,0,5.76,48.61,0,0,0,0,0,0,0,0
 10-12,0,97.4,0,258.31,0,12.76,288.04,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,2540.14,110.23,0,0,673.25,0,7.72,37.5,0,196.06,3.87,0,0,0,0,0
 14-21,0,0,1.13,0.95,13.8,2.16,4.38,0,0,11.69,2.07,0,1.15,0,0.96,0,0,0,17.76,0,0,11.42,162.78,2.95,0,3.86,8.04,0,2.21,0,11.31,1.83,4.78,58.71,0,0,2.45,0
 24-34,0,0,0,0.59,11.97,0,26.99,0,0,11.25,1.88,0,1.74,0,1.48,0,1.57,0,56.73,0,0,25.42,340.71,2.47,3.77,2.37,0,0,5.33,0,0,1.98,3.37,77.4,0,0,8.96,0
 36-46,0,0,0,0,2.66,0,68.08,0,1.58,18.75,0,0,0,0,0,3.81,0.61,0,50.61,0,0,22.97,319.48,0,1.53,2.66,0,4.12,24.05,0,0,0.79,0,107.58,0,0,6.76,2.51
 48-58,0,0,0,0,1.27,0,62.22,0.55,2.8,20.18,0,0,0.85,0,0,0,0,0,58.17,0,2.22,12.07,77.32,0.66,1.17,0.93,0,0.39,10.47,0,0,0.4,0,41.59,0,0,3.38,0.38
 60-70,0,0,0,0,7.01,0,66.26,1.46,0.86,26.44,1.34,0,0,0,0,0,1.35,0,60.37,1.1,2.74,4.52,57.57,0,0.62,1.74,0,0,2.09,0,0,0,0,24.84,0,0,0.83,0
 72-82,0,0,0,0,2.12,0.6,29.87,0,0,18.87,0,0,1.26,0,0.54,0,0.61,0,46.05,0.61,2.52,2.12,26.71,0,0,1.18,0,0,5.21,0,0,0.76,0,1.77,0,0,0.92,0
 84-94,0,0,0,0,1.68,0,17.69,1.22,2.94,28.99,0,0,1.5,0,0.94,0,0,1.41,38.31,1.42,0.89,10.2,17.62,0,0,0,0,0,6.28,0,0,1.09,0,15.03,1.14,0.57,1.11,0
 96-106,0,0,1.05,0,4.66,1.43,14.02,0.58,0,2.38,3.47,0,0,0,0.87,0,0.59,0.72,27.85,0,0,5.47,20.6,0,3.54,3.14,0,0,5.21,0,0,0,0,7.41,0,0.92,1.39,0
108-118,0,0,0,0,3.82,0,24.61,0.54,0.53,12.62,0.7,0,0,1.38,3.3,0.55,0,0,27.21,0,0,0.44,16.77,0.49,1.55,0,0,0,2.12,0,0,0,0,3.61,0,0,0.88,0
120,0,0,0,0,5.11,4.15,11.81,0,1.98,2.14,0,0,0,1.69,0,0,0,0,13.14,0,0,2.3,22.56,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,8.31
