stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,43.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,6.55,0,0,0,0,0,0,0
 10-12,0,5.54,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,0,0,7.38,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,11.57,0,0,0,0,0,0.9,0,0.82,15.03,0,0,0.92,0,0,2.08,0,2.73,21.26,1.26,0
 24-34,0,0,0.71,0,2.05,0,3.01,0,0,0,2.94,0,0,0,0,0,1.02,0,0,39.41,0,3.85,0,0,3.27,0,1.68,0,15.88,0,0
 36-46,0,0,0,0,0,0,0.63,0,0,0,2.09,0,0,0,0,0,1.44,0,0,24.76,0,11.13,0,0,0,0,0.65,0,25.06,0,0
 48-58,0,0,0,0,1.66,0,4.16,0,0,0.46,4.89,0,0,0,0,0,2.52,0,0.47,41.88,0,3.35,0.64,0,0,0,2.13,0,14.85,0,0
 60-70,0,0,0,0,0,0,9.23,0,1.5,0,2.66,0,0,0,0,0.84,0.6,0,1.54,24.3,0,1.29,3.82,0,0,0,0.63,0,12.97,0.68,0.99
 72-82,0,0,0,0,0.68,0,10.8,0,0,0,24.18,0,0,0,0,1.6,5.58,0.94,1.72,15.1,0,6.33,0,0,0.58,0,0.73,0,5.14,1.27,0
 84-94,0,0,0,0,0,0,5.56,0,0,0,1.28,0,0,0,0,0,2.34,0,0,16.83,0,4.1,4.05,0,0,0,0,0,9.59,0,0
 96-106,0,0,0,0,0,0.98,2.01,0,0,0,3,0,0,0,0,1.23,0,1.65,0,13.23,0,3.43,2.58,0,0,0,0,0,1.31,0,0
108-118,0,0,0,0,0,0.61,5.12,0,0,0,3.48,0,0.51,0,0,1.79,14.18,0,0.47,0,0,5.67,8.75,0,0,0,0.88,0,2.41,0,0.74
120,0,0,0,0,4.67,0,12.18,1.72,0,0,33.71,0,0,1.5,2.11,1.74,0,0,0,28.43,1.29,3.8,2.59,0,0,0,0,0,0,0,0
