stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73,0,0,0,0,0,0,0
 14-21,0,0,6.6,0,1.11,0,0,0,0,0,0,0,0,0,20.29,0,0,0,1.67,1.32,1.54,3.03,0.9,9.35
 24-34,0,0.67,0,0,4.08,0,0,0,0,0,0,0,0.73,1.25,8.45,0,0,0,0,0,0.63,0.99,5.14,0
 36-46,0,0,0,0,1.48,0,0,1.95,0,0,0,0,2.87,0,26.24,0,0,0,0,0,0,5.46,0.62,0
 48-58,0,0,0,0,8.05,1.19,0,1.52,0,0,0,0,1.99,0,25.97,0,0,0,0,0,0,2.67,0,0
 60-70,0,0,0,0,5.35,0,0,0,0,0,0,0,2.58,0,22.11,0,0,0,0,0,0,1.85,0,0
 72-82,0,0,0,0,4,0,0.94,1.12,0,0,0,0,4.65,0,7.38,0,0,0,0,0,0,3.52,0,0
 84-94,0,0,0,0,0,0,0,0.9,0.71,0,0,0,8.12,3.7,1.83,4.66,0,2.68,0,0,0,0.65,0.83,0
 96-106,0,0,0.6,0,0,0,0,0,0,0,1.89,0,3.93,0,3.06,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.53,1.98,0,0,0,0,0.56,0.87,2.42,12.35,1.5,17.56,0,0,0,0,0,0,3.93,0.43,0
120,0,0,0,0,0,0,0,1.87,0,0,0,0,2.22,0,17.24,0,0,0,0,0,0,0,0,0
