stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0
 14-21,0,0.9,1.74,0,0,0,0,0,1.77,0,0,0,0,0,0,6.85,0,0,0,2.81,2.52,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,4.09,0,1.7,0,0,0,0,0,0,0,0,0,0,9.54,0,0,32.24,5.59,2.83,1.49,0,0,0,0,0,0,4.65,0,0
 36-46,0,0,3.01,0,0,0,0.82,0,0,0,0,0,0,0,0,57.45,0,0,60.2,4.26,0.57,0,0,0,0,0,0,2.46,3.48,0,0
 48-58,0,0,5.19,0,4.34,0,5.11,0,0,7.04,0,0,0,0,0.54,234.91,0,0,62.5,11.21,0,0,0,0,0,0,0,1.22,3.64,0,0
 60-70,0,0,2.51,0,2.13,0,7.38,0,0,0,0,0,0,0,0,692.47,0,0,60.95,25.06,0,0,0,0,0,0,0,17.11,7.61,0,0
 72-82,0,0,2.14,0,54.8,0,12.3,12.94,1.19,0,0,2.72,0,0,0,1684.48,1.38,0.93,64.48,47.15,0,0,0,0,4.96,0,0,30.9,7.23,0,0
 84-94,0,0,12.48,0,42.39,0,17.97,0,1.22,0,0,0,0,0,0,1142.72,0,9.26,42.87,23.09,0.9,0.7,0,0,1.58,6.3,1.01,28.58,0.77,0.82,0
 96-106,0,0,17.26,3.99,62.39,1.81,15.71,0.58,1.15,3.88,0,0,0,3.07,0,1554.51,0,5.52,32.7,63.29,0,0,4.62,0,3.17,0,2.68,26.85,9.59,16.44,0
108-118,0,0,11.88,10.43,21.01,1.61,14.15,0.67,0,0.86,0,0,0.76,3.11,0,1917.94,0,12.64,26.94,68.38,0,1.62,1.6,0.45,3.7,1.58,0,19.17,10.81,12.85,2.73
120,0,0,5.76,1.95,14.66,0,13.42,0,1.78,0,1.57,0,0,0,0,1319.49,4.69,19.12,26,113.57,0,0,12.53,0,0,4.36,0,16.9,0,14.76,0
