stage,axial,blastomeres,neural,paraxial_mesoderm,pronephros
  3-4,0,42.31,0,0,0
  5-6,7.56,65.9,10.18,0,0
  7-9,0,0,12.6,4.67,0
 10-12,0,0,0,0,5.21
