stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
 14-21,0,1.24,0.91,0,0,0,0,0,0,0,0,1.51,0,1.21,3.47,0.91,0,1.96,0
 24-34,0,0,0,0,0,0,0,0.78,0,0,0,3.35,0.69,0,0,0,0,0.77,0
 36-46,0,0,0,0,0,0,0,2.16,0.59,0,0,10.75,0,0,0,0,0,2.75,0
 48-58,0,0,0,0.64,0.39,0,0,0.47,0,0,0,20.29,0,0,0,0,0,1.3,0
 60-70,0,2.12,0,1.69,0,0,0,2.73,0.78,0,0,12.39,0.63,0,0,0,0,4.66,0
 72-82,0,0,0,7.07,2.07,1.7,0,2.38,1.12,0,0,7.37,0,0,0.63,0,0,3.21,1.25
 84-94,0,0,0,3.41,0,2.16,0,3.6,0,0,0,2.03,0,0,0,0,0.66,0,0
 96-106,0.9,0,0,6.49,0,0,0.83,9.72,0,0.7,0,21.56,2.26,0,0,0,0,0,0
108-118,0,0,0,4.68,0,0,0,7.4,0,1.44,1.67,9.01,2.51,0,0,0,0,0,1.43
120,0,0,0,0,0,0,0,0,18.12,0,5.02,0,0,0,0,0,0,0,0
