stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,148.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,114.26,0,0,0,0,0,0,0,0,0,8.42,0,0,0,7.36,0,0,0,0
  7-9,8.79,0,0,0,0,7.04,0,0,0,0,0,69.6,3.7,0,7.02,0,0,0,0,0
 10-12,0,0,18,0,0,11.51,0,0,9.36,0,0,45.21,0,0,45,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,1.51,0,0,1.19,0,11.72,3.03,0,0,0,0.85,5.67,0,0
 24-34,0,0,0,0,0,0.91,0,0,0,2.43,0,11.68,0,0,0,0,1.13,3.68,0.94,0
 36-46,0,0,0,0,0,0,0,0,0,1.48,1.26,14.96,0,0,0,0,0,0.8,0.85,0
 48-58,0,0,0,2.23,0,1.36,4.5,0,0,2.69,0,8.27,0,0.52,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.89,0,0,0,1.57,0,7.11,0,0,0,0,0,1.68,0,0
 72-82,0,0,0,0.74,0,3.2,1.16,1.05,0,0.52,0,3.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.61,0,0,0,1.51,0,2.71,0,0,0,0,0,0,1.2,0.91
 96-106,0,0,0,0.65,1.2,0,10.01,0,0,0.77,0,17.44,0,0,0,0,0,1.54,0,0
108-118,0,0,0,3.26,0,6.28,0.65,0,0,0,0,3.92,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.15,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0
