stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,7.68,0,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,0,0,0,0,0,0,9.01,0.92,0,0,0.61,0,0
 36-46,0,11.76,0,59.46,0,0,0,0,0,2.56,0,0,0,0,0,4.53,0,0,36.91,0,0,0,0,0,0,0,11.29,2.11,0,0,1.09,0,0
 48-58,0,2.34,0,207.12,2.59,0,0,5.68,0,0.77,0,0,0.8,0,0,0.82,0,1.22,55.58,2.59,0,0,0,0,1.73,0,35.41,3.6,0,0.42,0.52,0,0
 60-70,0,2.56,0,885.66,7.63,0,0,0.64,0,0,0,4.06,0,0,0,7.53,1.05,2.19,29.57,0,0,3.17,0,0,0,0,48.11,0,0,4.5,0,0,0
 72-82,0,5.63,0,1272.83,25.9,0,1.3,11.11,0,0,0,1.81,8.8,5.96,8,14.76,3.25,3.7,52.9,0,0.97,3.92,0,0,1.41,0.64,31.43,3.93,0,0.72,0,1.11,1.88
 84-94,0,3.4,0.57,889.72,76.11,1.32,0,22.14,0.95,0,0,0,1.18,7.62,0,10.19,0.66,2.89,61.74,0,1.1,2.12,0,0,3.18,0,34.13,1.18,0,2.19,4.25,0,0
 96-106,0,6.24,18.82,736.83,77.77,0,0,24.81,2.32,0,0,0,4.8,4.58,0,17.8,11.27,3.5,62.86,0,0,1.29,1.2,2.93,0,0.7,72.34,1.8,0,2.98,1.6,0.69,0
108-118,0,11.59,1.54,507.34,60.07,0,0,20.63,0,1.9,0.65,0,2.92,13.55,0,4.15,5.15,4.34,62.13,0,0.59,3.32,0,16.4,0,0,36.85,0,0.68,0,4.25,0,2.33
120,0,8.8,0,348.8,62.74,3.5,1.56,48.46,0,1.85,4.22,0,0,2.16,0,2.58,0,1.68,109.85,0,0,9.39,0,24.23,0,1.02,14.08,0,1.84,0,0,10.35,0
