stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3.03,0.82,0,3.1,0,0,0,0,0,0,0,0.97,0,0,0,0,3.4,0,0,64.78,9.2,0,0,0,0,0,2.29,0,0,11.27,0,0,0,0,0,0
 24-34,0,0.59,1.85,0,0,4.82,0,0,1.13,0,0,0,0,2.03,0,0,0,0,296.1,0,0,185.5,45.28,0,0,0,0,1.31,0,0,0,1.86,1.07,0,0,0,0,0
 36-46,0,0,2,0,0,33.61,0,4.89,30.7,0,0,0.76,0,0,0,0,0,4.32,735.86,0,0,194.18,22.25,0,0,0.63,0,0,0,10.34,0,0,3.34,0,0,0,0,1.45
 48-58,0,0,4.31,0,0,53.12,0,6.16,100.17,9.09,0,0,0.75,1.79,0,0,0,19.11,1226.16,1,0,200.6,104.43,0,0,0.39,0,6.61,0,0,0,0,2.55,0,7.38,0,0,4.75
 60-70,0,0,0,3.58,0,20.62,0,0,118.69,10.71,0,0,0,6.79,0,0,0,5.23,1849.73,2.78,0.81,184.93,90.78,0.83,0,0.76,0.97,0,0,0,0,0,11.99,0.77,46.41,0,0.89,0
 72-82,0,0,6.53,0,0,62.06,0,5.82,177.23,6.16,5.28,0,0,2.28,0,0,0,3.32,2484.1,0,20.18,154.84,103.27,0,1.16,1.49,11.56,0,0,0,1.5,0,2.78,2.56,65.85,2.36,2.77,0
 84-94,1.62,0,7.89,0,0,100.15,0,0,134.69,7.32,0,0,0.97,2.25,0.57,0.69,0,7.32,1763.55,0,15.71,97.14,64.85,1.82,0,0,4.14,0.96,0,0,0,0,8.33,1.17,52.95,0,13,0
 96-106,0,0,13.13,0,2.28,67.47,0.9,2.72,125.13,14.05,1.5,0,0,6.68,0,0.79,0.97,1.7,1590.48,1.61,10.09,86.31,69.92,0,0,1.2,8.19,1.11,0,0.89,0,0,5.88,2.05,90.12,9.38,11.12,0
108-118,0,0,9.15,0,0,39.27,0,0,118.05,12.03,4.29,0,0,7.74,0.44,0,0,0,1833.2,1.15,9.23,72.26,61.11,0,0,3.59,6.06,1.29,0,0,0,0,0,3.77,22.12,0,7.02,0
120,0,0,17.28,14.25,0,31.25,0,0,95.42,1.77,1.88,0,0,6.39,3.52,0,0,0,1822.52,1.56,2.08,44.78,84.13,0,0,0,25.29,0,0,0,0,0,0,3.62,14.72,0,0,0
