stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,223.08,5492.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189.42,0,0,0,0,0,0,0,0,0
  5-6,120.18,10932.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.44,0,0,0,21.39,346.53,0,0,0,0,0,0,0,0,0
  7-9,110.19,495.89,219.76,0,0,0,126.31,0,0,0,0,0,113.84,0,0,0,0,0,0,0,0,0,0,0,38623.37,41.76,0,0,987.75,79.56,7.8,0,0,0,0,0,0,0,0
 10-12,0,22.61,141.64,0,5.46,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16303.78,0,0,0,153.05,10.52,8.5,4.75,0,0,0,0,0,0,0
 14-21,0,0,3.56,3048.53,14.39,0,14.32,0,0,0,0,1.96,7.45,0,0,7.88,0,0.93,0,0,18.67,0,0,2.03,189.38,8.07,0,55.53,12.54,29.69,0.91,9.52,0,1.87,17.63,0,0,0,1.42
 24-34,0,0,0,769.54,0,0,33.2,0,2.63,0,2.68,0.78,0,0,0,0,0,16.62,0,0,10.34,6.87,0,1.63,79.68,0,6.78,1.39,0,52.97,0,0,0,0,3.81,0,0,0,0
 36-46,0,0,1.18,106.62,0,0,10.95,0,0.94,1.92,0,0,0,0.92,0,0,0,1.75,0,1.42,6,1.75,0,3.55,79.66,0,5.81,1.55,0,35.73,0,0,0,0,1.89,0,0,0,0
 48-58,0,0,0,118.98,0,0,16.56,0,0,0,3.37,0,0,0,0,0,0,0.98,0,0,7.23,0.72,0.73,0.38,69.68,0,4.33,33,0,31.79,0.56,0,0,0,3.28,0,0,0,0
 60-70,0,0,0,71.74,0,0,17.44,0,0,0,0,0,0,0,0,0,0,1.01,0,0,7.34,0,0,0,32.71,0,1.27,13.3,0,9.59,0,0,0,0,0,0,1.36,0,0
 72-82,0,0,0,23.55,0,0,20.94,0,0,0,18.34,0,0,0,0,0.53,0,0.62,0,0,3.28,0.82,0,3.72,20.34,0,3.17,23.15,0,4.19,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,32.13,0,0,10.96,0,0,0,4.4,0.66,0,0,0,0.75,0.65,0,0,0,2.2,0,0,1,17.12,0,7.23,21.76,0,15.53,0,0,1.52,0,0,4.67,0,0.68,0
 96-106,0,0,0,23.78,0,0.84,9.04,0,0.89,0,37.53,0,0,0,3.23,0,0,0,0.72,0,4.33,0.63,0,0.81,1.34,0,24.02,65.82,0,16.99,0,0,0,0,0,0,2.24,0,0
108-118,0,0,0,12.6,0,0,11.23,1.16,1.07,2.57,20.84,0,0,0,0,0,0,0,0.52,0,3.4,0,0,3.69,40.94,0,2.17,39.35,0,17.95,0,0,0,0,7.2,0,0,0,0
120,0,0,0,34.49,0,0,8.7,0,2.63,0,20.37,0,0,0,0,5.57,0,1.34,0,0,3.06,0,0,2.62,11.79,0,2.76,4.21,0,5.65,0,0,0,0,0,0,0,0,0
