stage,epidermis,eye,fast_muscle,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0
 24-34,1.05,0,0,0,0,0,0,0,0.59,1.07,0,0,1.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,1.54,0,0,0,0
 48-58,6.08,0,0,0,0.92,0,0,0,0,0,0,2.7,0,0,1.47,0,0,0,0
 60-70,3.92,0,0,0,0,0,0,0,0,0.94,0,0,0.63,0,0,0,0,0,0
 72-82,0.53,2.8,2.65,0,0,0,0,0,0,1.17,0,5.58,0,0,0,0,0,0,0
 84-94,4.84,0,0,0,0.77,0,0,0,0,0.69,0,0,1.47,0.78,2.67,0,0,0,1.57
 96-106,0.73,0,0,0,0,0,0,0,0,4.4,1.52,0,1.02,0,3.85,0,0.78,0,0
108-118,3.12,4.07,0,0.91,0,0.61,0,0,0,2.69,0,0,0,0,4.76,0,0,0,1.09
120,5.49,0,0,0,0,0,1.69,2.06,0,0,0,0,4.91,0,25.03,1.13,0,2.64,0
