stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,38.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,20.56,14.96,0,0,12.26,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0,0.97,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,1.14,0,0,0,0,0,0,2.92,0.64,0,37.12,0,0,0,1.14,0,0
 36-46,0,0,0.78,0,5.82,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,16.5,0,0,0,0,0,0
 48-58,0,0,0.47,0,360.2,0,0,0,0.58,5.52,0,0,1.13,0,0.58,0,76.78,0,0,54.12,0,0,0,14.55,0,0.49
 60-70,0,0,3.04,0,1035.67,0.83,0,0,21.5,25.35,0,0,3.68,0,0,0,112.4,0,1.47,74.91,0,0,0,23.21,0,0
 72-82,0,0,0.7,3.62,1255.8,0,0.91,0,17.17,49.37,0,5.42,11.57,0,0,0.54,117.95,0,0,131.19,0,0.95,0,4.81,0,15.88
 84-94,0,2.29,4.09,0,922.57,0,0,0.89,17.55,52.81,0,0,5.58,0,0,0.55,89.91,0,0,205.62,0,0,0,12.03,0,0
 96-106,0,0,1.89,1.89,650.24,0.68,0,0,4.36,111.22,0,0,15.39,0,0,1.99,69.16,0,0,221.31,0,1.36,0,0,1.91,4.01
108-118,0,0,2.52,1.5,1064.54,0,0,0,17.4,66.23,0,0,14.36,7.05,0,0,117.55,0,0,159.06,0,1.11,0,0,0,0
120,0,0,2.32,3.03,756.94,0,0,0,14.21,53.97,1.97,0,6.57,0,0,0,106.17,0,0,162.82,0,6.59,0,0,0,0
