stage,blastomeres,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,22.55,0,0,0,0,0,0,0,0,7.49,0,0,6.92,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0.82,0.87,0,0
 24-34,0,0,0,0,0,0,0.86,0,0,13.45,0,0,0,1.1,3.64,0,0
 36-46,0,0.63,0,0,0,0,0.99,0,0,42.88,0,0,0,0,5.71,0,0
 48-58,0,2.36,0,1.24,0,0,2.08,0,0,57.32,0,0,0,0,9,0.85,0
 60-70,0,2.75,0,0,0,0,1.03,0,0,147.5,0.96,0,0,0,23.72,4.02,0
 72-82,0,23.41,0,4.52,0,2.68,9.2,0,0,223.71,0,0,0,0,6.55,9.89,0
 84-94,0,22.15,0.63,3.82,1.32,0,0.97,0,0.55,153.39,0,0,2.01,0,3.73,4.86,2.23
 96-106,0,22.16,0.88,1.91,1.41,0.76,4.3,3.31,0,142.71,0,0,0,0,4.09,15.75,0
108-118,0,26.73,0,0.64,0,0,1.39,0,0,204.23,0,0,0,0,4.43,6.48,1.05
120,0,11.71,0,0,3.06,0,11.39,0,0,322.33,0,0,0,0,21.22,0,0
