stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,11.62,238.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.72,835.35,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.05,0,0,0,217.72,6.27,0,0,0,0,0,0,0
  7-9,21.65,58.67,33.69,0,0,0,16.88,0,0,0,0,147.04,0,0,0,0,0,0,0,0,0,0,194.7,55.39,0,0,3865.73,0,9.38,0,12.83,0,0,0,0
 10-12,0,17.59,99.41,0,28.75,0,18.17,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,207.78,225.22,0,0,6442.5,0,0,729.33,554.82,0,99.97,0,0
 14-21,0,5.89,7.83,14.45,226.86,0,13.22,0,0,4.58,0,0,0,0,0,0,0,2.76,15.9,0,0,40.55,179.13,7.99,0,0.81,8.64,5.95,0,5573.66,0,52.71,828.26,28.06,2.64
 24-34,0,0,0,1.66,9.14,0,6.47,0,2.8,1.3,0,0,0,0,1,0,0,0,12.79,0,0,5.63,26.64,0,0,0,0,2.29,0,29.79,0,0,426.1,7.64,6.29
 36-46,0,0,0,0.65,3.95,0,6.09,0,0,0.61,0,0,1.92,0,0,0.77,3.16,0,13.85,0,0,2.73,15.93,1.27,0,0,0,2.2,0,0,0,0,4.17,0.64,4.37
 48-58,0,0,0,1.64,2.73,0,5.11,0,1.78,0,0,0,7.63,0,0,0,0,0,9.97,0,0,6.15,27.83,0,0,0,0,0,0,0,0,0,0,5.24,2.93
 60-70,0,0,0,1.8,0,0,4.01,7.51,0,2.61,0,0,0,0,0,0,0,0,16.31,0,2.82,3.65,3.17,0,0,0,0,0,0,0,0,0,0,4.62,1.8
 72-82,0,0,0,5.07,0,0,0.95,0,0.75,12.92,0,0,0,0,0.93,0,0,0,32.59,0,0,3.48,4.52,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.32,0,0,1.72,0,3.64,8.77,0,0,0,0.69,0,0,0,0,55.29,0,0,1.51,4.26,0,0,0,0,2.97,0,0,0,0,0,0,1.27
 96-106,0,0,0,2.61,4.65,0,0.67,0.57,2.24,3.03,0.78,0,0,1.11,0,0,0,0,23.54,0,0,0,13.07,0,0,0,0,0.88,0,0,0,0,0,0,0.7
108-118,0,0,0,1.02,0,0.44,8.29,0,1.21,15.63,0,0,1.82,0,0.64,0.6,0,0,40.88,0,0,8.87,15.98,0,0.66,0.49,0,1.91,0,0,0,0,0,0,1.75
120,0,0,0,2.42,0,0,8.15,0,0,37.28,0,0,0,3.52,0,0,0,0,71.73,1.86,0,8.35,15.24,0,0,2.53,0,0,0,0,0,0,0,0,0
