stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,6.44,0,1.03,0,0,0,0,137.56,0,2.46,0,0
 24-34,0,0,0,1.4,0,1.07,0,0,0,0,0,0,0,0,0.62,0,0,0,20.46,0,0,0,0.89,4.79,0,317.03,0,0,0,0
 36-46,0,3.49,10.47,7.61,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,73.13,0,0,0,5.57,0,0.69,546.81,0,0,0,0
 48-58,0,2.01,0,31.82,0,0,0,34.79,0,0,0,1.14,0,0,4.3,0,0,0,157.2,0,0,0,0.57,0,0,682.69,0,1.7,0,1.53
 60-70,0,3.46,0,117.92,0,0,0,12.27,0,0,0,0,5.1,0,14.72,0,0,0,204.77,0,0,0,2.74,0,0,983.82,0,0,0,0
 72-82,3.2,0.61,0,331.16,0,0,0,19.92,0,0,0,0,0.78,2.66,4.47,0.92,4.81,0,172.27,0,0,0,0,0,0,852.76,0,3.95,0,0
 84-94,0,1.38,0.93,267.04,0,0,0.87,23.49,3.03,0,0.82,5.42,0,0,8.81,0,0,0,141.04,0,0,0.69,0.8,0,0,490.96,1.68,0,0.57,0
 96-106,0,6.47,13.8,371.62,0.86,0,0,25.85,0,0,0.86,5.41,0,0,5.54,0,0,1.6,287.47,1.19,0,0,3.11,0,0,374.31,0,1.91,0,8.85
108-118,0,4.16,1.03,481.2,0,0,2.13,28.53,0,1.14,0,0,0,0,6.54,0,0,0,243.37,0,0,0,0,0.84,0,383.64,0,0,0,0
120,0,11.06,0,241.25,0,0,0,15.69,0,3.09,0,4.13,0,0,7.9,0,0,2.38,376.62,0,0,0,11.26,0,0,777.18,0,0,0,0
