stage,blastomeres,endoderm,eye,gut,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,10.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.57,0,0,0
 10-12,0,4.05,0,0,0,3.75,0,0,0,0,0
 14-21,0,0,1.06,0,0,3.16,0,0,0.86,5.26,0.87
 24-34,0,0,0,0,0,1.1,0,0,0,0,0.79
 36-46,0,0,0,0,0,11.05,0,0,0,12.21,2.26
 48-58,0,0,0,0,0,1.95,0,0,0.71,0,0
 60-70,0,0,0,0,0,10.39,0,0,0,0,0
 72-82,0,0,1.04,0,0,4.26,0,0,0,0,0
 84-94,0,0,0,0,0,8.75,0,0,0,0,0
 96-106,0,0,0,0,1.04,0,0,0,0,0,0
108-118,0,0,4.45,2.21,0,0,0,0,0,0,0
120,0,0,0,0,0,5.03,2.28,0,0,0,0
