stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,taste,vasculature,xanthophores
  3-4,132.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0.86,11.8,0,0,0,4.43,0,0.99,0,0,0
 24-34,0,0,1.54,0,0,0,0,0,0.77,0,0,0,0,0,1.02,4.02,0,0,0,9.18,0,0,0,4.12,0
 36-46,0,0,0,0,0,0,0,0,2.17,0.72,0,0,5.17,7.69,0,7.38,0,0,0,2.81,0,0,0,4.58,4.11
 48-58,0,0,5.68,0,0,0,0,0,2.81,0,0,0.46,1.07,0,0.83,2.61,0,0,0,0.75,0,0,0,0,0.48
 60-70,0,0,4.86,0,0,0.57,0,0,10.52,0,0,1.16,0,0,0.63,2.69,0,1.24,1.72,9.94,0,0,0,1.51,0
 72-82,0,0,1.17,0,0,2.73,1.1,0.49,1.92,0.56,0,0,3.64,0,0,4.36,0,0,0,1.44,0,0,0.95,0.7,0
 84-94,0,0,8.28,0,0.63,0.74,0,1.98,6.54,0,0,0,4.01,0,0,4.69,0,0,0,10.96,0,0,0,0,0
 96-106,0,0,2.46,0.72,0,0,0,1.32,1.35,0.87,0,1.63,1.39,0,0,3.59,0,0,0,8.71,1.12,0,0,3.15,0
108-118,0,0,3.01,0,0,0.5,2.58,0.92,0.45,0,0.77,1.82,3.63,0,1.28,3.47,0.86,0,0,7.81,0,0,1.72,5.17,0
120,0,0,6.88,0,0,0,0,0,15.7,0,0,0,0,0,0,2.86,0,0,0,3.64,0,0,0,0,0
