stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.95,4.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.07,0,0,0,1.36,1.25,0,0,0,0,0.87,0,2.23,0.9,0,0,0
 24-34,0,0,0,1.73,0.61,0.63,0,0,0,0.65,0,0,13.79,0,0,0,0,0,0,0,2.56,0,14.97,0
 36-46,0,0,0,2.12,0.58,1.34,0,0.87,0,0,4.55,0,11.06,0,0,0,0,0,0,0,6.03,0,18.95,0
 48-58,0,0,6.79,5.64,0,0,0,0,0,0,2.34,0,5.84,0,0,0,0,0,0,0,0.85,0,3.23,0
 60-70,0,0.86,0,2.5,0,0.98,0,1.7,0,0,1.34,0.71,13.13,0,0,0,0,0,0,0,1.31,0.59,2.06,0
 72-82,0,0,0,0,0,1.53,0,6.99,0,0,2.01,0,19.28,0,0,0,0,0,0,0,0.81,0,14.22,0
 84-94,0,0,0,3.73,0,0.74,0,2.42,2.23,0,2.61,0,2.37,0,0,0,0,0,0,0,0,0,28.23,1.09
 96-106,0,2.72,0,0,0,0,2.02,8.59,0,0.84,1.12,0,8.19,0,1.04,0,4.17,0,1.35,0,0,0,10.18,0
108-118,0,0,0,8.11,0,0,0,4.51,0.75,0,6.6,0.65,12.85,0,0,0,0,0,0,0,0,0,17.54,0
120,0,0,0,0,0,3.18,0,9.14,0,0,10.55,0,9.86,0,0,0,0,0,0,0,0,0,8.06,0
