stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,8.54,0,0.82,0,0,0,0,0,0,0,0,0.96,0,0,0,23.13,0,0,0,0,0,0,1.21,4.75,0,0,0
 24-34,17.16,0,1.75,0.7,0,0,0,0,0,0,0.62,4.19,0,0,0.97,18.94,0,0,0,0.62,0,0,0,6.25,0,0,0
 36-46,42.45,0,2.9,23.16,0,1.35,0,0,0,0,0,5.65,0,0,0.64,27.46,0.72,0,0,1.18,0,0,0,1.98,0,0,0
 48-58,20.91,0,12.94,6.14,0,3.61,0,0,0,0,0,2.23,0,0.84,0,18.87,0,0,0,0.4,0,0,0,4.24,0,0,0
 60-70,32,0,8.98,15.28,0,0,0.95,0,0,0,0,4.62,0,0,0.67,14.78,0,0,1.22,4.45,0,0,0,3.45,0,0,0
 72-82,9.93,0,0.54,9.77,0,2.12,0,0.89,0,0,0,1.62,0,0,0.5,8.3,0,0,0,2.26,0,0,0,0,0,1.74,0
 84-94,24.92,0.71,14.62,6.02,0,0,0,0,1.28,0,0,2.69,0,0,0,2.14,0,1.36,0,4.32,0,0.55,0,1.31,1.13,0.59,0
 96-106,15.06,0,5.08,5.33,0,2.57,0,0,2.15,0,0,4.41,0,0,0,13.8,0,0,0,2.85,0,0,0,0,0,0,0.72
108-118,24.53,0,8.51,11.4,0,1.3,1.6,0,0,2.27,0,3.29,1.85,0,0.62,10.63,0,0,0,7.91,0.42,0,0,0,0,0.68,0
120,17.41,0,0,21,10.57,7.15,1.68,0,4.09,0,0,0,0,6.89,0,2.52,0,0,0,10.85,0,0,0,0,0,0,0
