stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,115.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0
  5-6,112.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,12.43,0,0,0,0,0,0,0,0
 14-21,0,0,8.78,0.96,0,0,0,0,0,0,0,0.91,0,0,0,0,0.87,6.67,0,0,0.97,0,0,0.96,1.81,0,0,0,0
 24-34,0,0,56.8,0,0,10.21,0,0,0,0,0,1.32,0,4.4,0,0,2.88,12.35,0,0.62,0,0,1.06,0.68,3.11,0,0,0,0
 36-46,0,0,84.75,0,0,24.42,0,4.59,0,0,0,0,0,0.64,0,0,1.15,18.51,0,0,0,0,1.68,0,2.43,0,0.63,0,0
 48-58,0,0,55.39,0,7.43,34.73,1.06,18.55,0,0,0,0,0,1.81,0,0,0,19.51,1.15,0,0,0,0,0,7.04,0,0,0,0
 60-70,0,0,87.13,0,5.74,27.51,0,4.87,0,0,11.26,0,0,2.67,0,0,0,20.83,0,0,0,0,2.11,0,0.95,0,1.11,0,1.96
 72-82,0,0,52.56,7.32,68.15,22.03,1.86,8.22,0,0,0,1.58,0,7.31,0.71,0,0.94,22.4,0,0,0,3.01,0,0,2.41,0,0,0,0
 84-94,0,1.33,115,3.07,46.08,32.66,0,1.05,0,0,1.89,1.36,0,6.99,0.71,1.07,0,15.81,0,0,0,0,2.53,0,4.16,0,0,0,0
 96-106,0,0,101.13,3.96,101.18,27.47,0,5.83,1.58,1.03,1.66,0,0,11.21,0,0,0,5.35,0,0.81,0,0,1.61,0,0.67,0,0,0.62,0
108-118,0,0,115.47,0,93.39,51.08,1.54,15.7,3.16,0,1.58,3.56,0,16.11,0.54,0,0,13.39,4.41,0,0,0,2.34,0,0,0.54,0,0,0
120,0,0,104.88,0,35.83,73.75,0,14.35,2.2,0,2.14,1.65,1.33,35.72,1.12,0,0,11.62,0,0,0,0,1.07,0,0,1.37,0,0,0
