stage,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,immune,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.78,0,3.34,0,10.2,0,0,0,58.49,4.17,30.62,0,0,0
 10-12,0,10.24,0,29.26,0,6.55,0,0,0,64.09,20.22,55.41,0,11.88,0
 14-21,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0.81
 24-34,0,0,0,0,0,0,0,0.65,0,1.48,0,0,0,0,0
 36-46,0,0,0,0,6.16,0,0,0,1.24,0,0,0,0,0,1.29
 60-70,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
 72-82,0,0,0,0.56,0,0,0.56,0,0,0.61,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.95,0,0,0.68,0,0
 96-106,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,3.05
108-118,0,0,0.61,1.71,0,0,1.43,0.54,1.1,0,0,0,0,0,0
