stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,0,0,0,7.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,1.24,0,0,0,0,0,0,0,1.04,0,0,0
 24-34,0,0,0,0,9.91,0,1.86,0,0,0,4.01,0.6,0,0,0,0,2.18,1.04,0,0,2.34,7.07,0,0,0,0,0,0,0,4.68,0,0,0
 36-46,0,0.92,0,0,23.65,0,0,0,0,0,0,0.94,0,1.91,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,2.25,0,0,0
 48-58,0,0.53,0,0,114.04,0,0,0,1.54,0,0,0,0,0.8,0,0,0,0,0,0,1.76,5.76,1.63,0,0,0,0,0,0,4.28,0,0,0
 60-70,0,2.23,0,0,2005.71,0,0,0,0,0,0,2.38,5.54,19.01,0,0,0,2.06,0,0,1.06,43.83,0,0,0,0,0,0,0,1.98,0,0,0
 72-82,0,7.98,7.84,0,3053.11,0,0.66,0,21.93,0,0,0,0,4.71,0,0,0,9.59,0,0,1.23,85.31,0,0,2.13,0,2.36,3.07,0,12.47,0.85,0,0
 84-94,0,12.81,4.13,0,3395.12,0.76,0,0,9.25,0.73,0,5.05,0,0.58,0.9,0,0,1.5,0,1.84,0,75.75,0,0,0,0,0,1.72,0,0,0,0,0
 96-106,0,2.97,4.1,0.66,2988.81,0,1.05,0.72,30.82,1.02,0,1.05,0,3.88,1.71,8.27,0,10.07,0,0,0,85.5,0,1.64,0,0,0,1.22,0,2.16,3.19,0.64,8.85
108-118,0,7.29,1.72,0,3047.49,0,0,0.59,44.43,0,0,1.41,0,16.89,0,1.12,0,18.61,1.3,0.74,1.47,91.85,0,0,0.82,0,0,11.22,0,3.28,1.02,0,0
120,0,28.75,1.3,0,5513.76,0,12.89,0,89.1,0,0,11.86,1.48,2.48,0,3.79,0,5.12,0,2.76,6.1,249.57,0,0,0,0,0,9.68,1.62,13.07,1.76,0,0
