stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,0,1.1,0,0,3.02,0,0,0,0,0,0.95,0,102.03,0,0,1.09,0,0,0,41.11,0,0,0
 24-34,0,0,0,0.95,2.31,1.73,0,10.84,0,0.59,0,0.86,0,0,0,348.67,5.35,0.63,1.37,0,0,0,123.99,0,0,0
 36-46,0,0,0.61,0,1.59,0,0,99.08,0,0,0,0.7,3.89,0,0,481.28,5.21,0,1.61,0,0,0,161.66,0,4.11,0
 48-58,0,0,0.51,0,8.01,0,0,164.11,0,0,0,1.35,8.7,0,0,288.76,6.02,0,0.95,0,0,0,119.79,0,3.97,0
 60-70,0,0,0,0,16.17,0,0,200.59,0,0,3.44,0,13.03,0,0,161.81,3.82,0.83,2.04,0,0,0,66.41,0,0.74,0
 72-82,0,0,1.32,0,21.68,0,1.1,130.35,0.73,0,0,1.17,14.3,0,0,190.42,4.35,0,0.87,0,0,0,24.28,0,4.37,5.52
 84-94,0,0,0.6,0.66,36.88,0,0,122.35,1.36,0.68,0,0,6.29,0,1.42,126.07,4.89,1.63,1.34,0,0,0,20.98,1.27,3,0
 96-106,0,0,1.27,0,11.48,4.7,0,73.28,0.7,0,1.04,0.92,16.81,0,0,102.19,2.35,0.58,1.34,0,5.95,0,5.82,0,1.45,0
108-118,0,0,0.76,0,5.41,1,0,92.61,0,0,0.58,1.71,23.59,0,0,114.82,5.55,2.06,2.29,0,0,0,5.48,0,2.37,0
120,0,0,0,0,34.05,0,0,101.48,6.68,0,0,0,50.25,0,0,173.07,0,0,6.76,0,13.66,1.13,13.59,0,2.27,0
