stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,5265.99,92390.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370.98,0,0,0,0,0,0,0,0,0,0
  5-6,6359.93,75844.05,0,23.65,0,0,0,0,0,0,0,0,0,237.43,0,0,0,0,0,0,0,0,0,0,1394.29,63.2,0,0,481.8,0,719.36,0,0,0,0,0,0,0,0,0,0
  7-9,272.48,489.85,0,657.68,0,11.97,0,1269.51,0,0,0,0,0,1674.31,0,0,0,0,0,0,0,0,0,0,15460.13,258.97,0,0,4982.34,0,63.94,119.71,0,0,0,0,0,0,0,0,0
 10-12,3.8,118.69,0,284.74,0,36.59,0,457.91,0,0,0,0,0,242.42,0,0,0,0,0,0,0,0,0,3.87,3732.97,221.19,0,0,1503.3,0,3.07,20.5,4.61,178.56,13.78,14.9,0,0,0,0,0
 14-21,0,0,0,12.67,93.83,21.75,0,72.47,0,0.95,0,12.2,6.13,2.5,1.07,0,0,0,0,0,41.96,1.88,0,42.97,880.33,30.11,3.16,3.04,31.8,0,10.13,0,87.32,0,82.58,231.4,0,0,4.33,0,0
 24-34,0,0,0,0.66,26.23,6.22,0,129,0,2.51,0,16.68,2.03,0,1,0,1.56,0,1.26,1.44,88.37,0,0,30.23,1126.95,1.37,2.35,4.34,1,1.98,15.38,0,0,0,6.81,227.15,0,0,15.09,0,1.18
 36-46,0,0,0,0.61,16.79,1.05,0,336.26,0,0.7,5.5,53.36,0.66,0,1.94,0.62,0,2.31,2.42,0,118.84,0,3.24,28.38,1069.05,1.44,0.91,2.97,0,0,13.77,0,2.6,0.72,0,224.12,0,0,15.03,0,0
 48-58,0,0,0,1.02,11.74,0.39,0,242.59,0,4.67,3.68,55.49,1.08,0,0,1.14,0,1.16,1.63,1.03,101.29,0,6.99,28.9,555.92,2.23,0.58,2.25,0,0,3.31,0,0,0,0,87.61,0,0,4.52,0,0
 60-70,0,0,0.57,0,34.47,0.67,0,176.93,0,7.06,7.95,55.28,1.24,0,0,3.54,0.57,0,2.33,0.74,105.98,1.41,2.47,19.46,229.4,6.61,1.27,3.64,0,0.66,14.19,0,0,0,0,42.96,0,0,4.6,1.54,8.26
 72-82,0,0,0,0,8.29,0,0,64.25,0.88,0,17.38,32.25,1.48,0,2.29,5.35,1.54,4.18,0.68,5.95,94.33,0,2.77,23.79,149.35,0,0.53,8.4,0,1.41,26.22,0,0,0.49,0,14.11,0,1.88,5.61,2.17,3.06
 84-94,0,0,0,0,30.87,2.71,0,55.78,0,0.68,5.97,24.09,1.48,0.6,0,2.14,3.26,5.36,0.76,0,80.22,0,12.63,7.6,91.1,5.6,1.92,6.4,0,1.31,45.91,0,0,0.67,0,14.54,2.86,1.22,6.33,4.97,0
 96-106,0,0,0,0,23.79,0.79,0,29.6,0.71,1.34,5.97,41.07,3.16,0,1.29,3.92,0.6,3.78,1.1,0,59.57,0,4.02,8.3,72.53,0,3.08,3.59,0,0,44.63,0,0,0.63,0,15.38,1.87,1.82,12.65,2.27,1.79
108-118,0,0,0,0,27.25,2.21,1.73,37.13,0,3.5,2.22,22.18,3.15,0,2.84,4.17,1.43,1.13,4.09,4.37,54.23,0,2.44,9.06,97.79,3.22,1.02,0.77,0,1.99,30.91,0,0,0.42,0,0.87,1.23,0,18.74,0,4.42
120,0,0,0,0,35.37,6.84,0,36.88,0,8.32,2.45,82.93,1.19,0,0,10.77,0,0,2.12,0,64.13,0,0,43.7,117.52,3.9,7.38,8.89,0,0,26.77,0,0,2.63,0,0,0,0,24.03,3.35,0
