stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,21.85,5.59,0,0,0,0,0,0
 14-21,0,0,0.85,1.05,1.1,0,0,1.08,0,2.8,0,0.84,6.26,0,0,0,0,0.84,0.85,4.8
 24-34,0,0,0,1.05,0,0,0,0,0,0,0,0,9.36,0,0,0,3.48,0,0,0.85
 36-46,0,0,0,0,3.51,0,0,0,0,0.97,0,0,11.26,0,0,0,0,0,0,2.6
 48-58,0,0,0,0,1.4,0,0,0,0,0,1.2,0,0.39,4.09,0,0,0,0,0,0
 60-70,0,0,0,0,6.44,4.23,0,0,0,0,0,0,1.08,0,0,0,1.04,0,0,0
 72-82,0,0,0,0,6.22,0.92,0,0,0,2.2,0,0,0.66,0,0.71,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.15,0,0,2.88,0,1.36,0,0,0,0,0
 96-106,0,0,0,0,1.17,0,0,0,0,1.37,0,0,2.75,0,0,0,3.2,0,0,0
108-118,0,0,0,0,7.14,0,0.94,0,0.83,1.77,0,0,1.73,0,0,0,0,0,0,0
120,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
