stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,hatching_gland,immune,liver,mesenchyme,neural,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.41,112.17,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0
  7-9,0,5.63,0,0,0,0,0,13.19,0,0,0,12.98,0,0,0,0,0,0
 14-21,0,0,0,1.89,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.49,0,0,1.01,0,30.67,0,7.18,1.15,0.67,0.85,0,0,0.93,0
 36-46,0,0,0,0,0,0,0,0,55.38,0,0,5.88,0,0,0,0,3.28,0
 48-58,0,0,0,0,0,0,0.75,0,64.4,0,0,6.76,0,0,0,0,0.85,0
 60-70,0,0,0,0,0,5.44,0,0,109.81,0,0,7.02,0,0,0,0,0,0
 72-82,0,0,0.78,0,0,0.68,0,0,151.56,0,3.52,2.37,0,0,0,1.7,0.6,0
 84-94,0,0,0,0,0,0,0,0,144.75,0,0,8.18,0,0,0,0,0.69,0.89
 96-106,0,0,1.16,4.87,0,3.68,0,0,158.69,0.63,0.74,1.26,1.24,0,4.54,0,1.39,0
108-118,0,0,0,0,5.81,7.72,4.65,0,180.19,0,2.14,15.14,0,0,0,0,2.15,0
120,0,0,1.16,4.9,0,0,0,0,212.2,0,7.76,0,0,0,0,0,6.28,0
