stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,gut,heart,ionocyte,lateral_line,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,35.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0
 24-34,0,0.84,1.11,0,0,0.82,0,0.81,1.21,0,2.41,0,0.69,0.75,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.59,2.32,0,0,0,0,0
 48-58,0,0,0,0,1.31,0,0,0,0,0,11.2,4.33,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,14.06,0,0,0,0,0
 72-82,0,0,0,1.84,0,0,0,0,0,0,16.37,0,0,0.58,0,0
 84-94,0,0,0,1.92,0,2.33,1.57,0,0,0,14.81,0,0,0,0,0
 96-106,0,0,0,2.65,1.77,2.77,0,0,0,0,24.81,0,0,2.15,0,0
108-118,0,0,0,1.38,0,3.18,0,0,0,0,25.84,0,0,1.05,1.27,0.77
120,0,0,0,0,0,0,0,0,3.58,0,30.63,0,0,0,0,0
