stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.95,4.79,0,39.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.93,17.76,0,0,6.97,0,0,0,0,0,0,0,0,0,0,155.68,23.34,0,125.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0.94,0.83,0.87,0,4.9,2.49,0,0,0,0,2.06,0,8.84,74.64,0,0,2.04,0,0,0,6.07,0,0,12.2,52.03,0,0,2.18,0,0
 24-34,0,0.71,3.25,0,1.52,1.38,7.54,0.67,0,0,1.39,0,9.52,0,5.24,188.99,0.9,0,0,0,0,0,0,1.3,6.66,2.88,98.81,0,0,7.72,0,0
 36-46,0,0,0,0,1.98,0,18.41,0,0,0,0,0.61,12.78,0.55,5.15,242.17,0,0,0,0,0,0,0,0.88,0,0,116.13,0,0,1.2,0,0
 48-58,0,0,0.61,0,1.73,0,10.54,0,0,0,0.38,0,16.45,0,1.83,188.93,0,0,0,0.97,0,0,0,0,0,0,95.51,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.62,0,0.93,23.3,5.49,1.62,138.43,0,0,0,1.08,0,0,0,1.75,0,0,39.85,0,0,0.92,0,0
 72-82,0,0,1.13,0,3.28,0,4.31,0,0,0,0,0,25.87,3.6,5.03,145.07,0.66,0,0,0,0,1.65,0,0,0,0,26.11,0,0,2.32,0.71,0
 84-94,0,0,6.4,0,4.19,0,6.55,0,0,0,0,0,37.7,1.38,0.75,57.02,0,0.79,0,0,0,0,0,1.52,0,0,28.53,0.9,0,0,4.41,0
 96-106,0,0,1.94,2.52,0.75,0,7.13,0.64,1.55,0,0,0,35.48,4.55,4,32.26,0,0,0,2.38,0,0,0,0,0,0,16.66,0.61,2.28,0,3.61,4.47
108-118,0,0,1.14,0,12.59,0,7.01,0,0,0,0,0,49.63,0,3.57,85.12,0.46,0,0,1.65,2.18,0,0,0,0,0,9.66,0.41,0,6.36,0,0
120,0,0,2.11,0,0,0,0,1.79,1.54,0,2.85,0,27.42,0,1.28,33.25,0,0,0,2.67,0,0,0,0,0,0,11.96,0,3.48,2.48,0,0
