stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,12.58,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.9,0,0,0,0,4.55,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,19.86,3.15,0,0,27.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.2,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,6.34,0,0,0,0,1.28,0,0,0.87,96.71,0,0,0,0,0
 24-34,0,0,1.81,3.9,0,0,6.48,0,0,0.63,1.55,0,0,0,0,0,0,0,0,1.34,0,0,0.85,927.06,0,66.42,0,0,0,0.86,1.58,0,0,0.63,343.77,0,0,0.93,0,0
 36-46,0,0,2.78,0.6,0,0,39.61,0,0,0,11.64,0,0,0,0,5.76,0,0,0,10.9,0,0,0,2391.31,0,90.96,0,0,0,7.75,0,0,0,0,545.99,0,0,0,0,0.74
 48-58,0,0,0,11.84,0,0,304.52,2.21,0,0,16.08,0,0,0.55,4.27,0,0,3.95,0.53,18.65,0,9.18,17.95,3720.61,0,55.95,1.86,0,0,5.82,0,0,0,0,609.61,0,0,0.71,0,16.77
 60-70,0,0,1.4,22.11,0,0,1097.1,0,1.1,0,33.01,0,0,0,2.45,0,1.55,0.81,0,18.13,0,0,3.69,5476.32,0,53.72,2.53,0,0,16.51,0,0,0,0,738.4,0,0,1.05,0,3.49
 72-82,0,0,0.71,15.89,12.11,2.97,1581.43,1.52,0,1.38,50.94,5.04,0,0,3.06,0,4.1,6.72,0,49.18,0.71,0,0.83,5674.82,0,79.49,5.05,0,1.77,6.43,0,0,0,0,566.62,4.89,0,12.17,2.32,37.65
 84-94,0,0,2.31,20.87,4.98,0,1113.83,0,2.47,1.18,69.94,0.93,0.77,0,0.77,0,3.06,0,0,45.79,0,1.93,8.64,4022.57,9.41,92.33,9.39,0,0,11.57,0,0,0.69,0,465.53,0.9,5.61,4,2.95,0
 96-106,0,0,1.87,21.27,16.79,1.65,1354.19,2.48,0.56,1.4,100.51,3.51,0,0,5.09,2.9,0,16.92,0,42.81,0,3.98,3.51,3465.59,0,130.44,5.23,0,0.81,15.99,0,0.7,7.48,0,212.33,1.26,1.24,4.3,1.12,0
108-118,3.02,0,1.13,37.84,2.45,6.02,1226.16,0,0.55,1.13,79.93,0.43,0,0,3.14,0,16.69,0,3.45,42.04,0,6.89,3.81,4114.41,6.81,84.14,10.87,0,6.12,2.63,0,0,0,0,177.04,6.21,0,1.77,5,1.25
120,0,0,3.9,60.9,1.53,0,1137.9,2.24,3.69,5.27,269.34,6.94,0,0,15.53,2.21,0,9,0,61.91,0,19.08,6.01,6748.13,0,123.29,3.63,0,0,5.59,0,0,0,0,375.33,0,0,2.12,0,7.26
